q_4_0666	겸직 허가기준의 조건은 무엇인가요?
q_4_0732	「국가공무원 복무규정」제26조에 의한 겸직허가는 몇 년까지 가능한가요?
q_4_0736	「공무원 행동강령」제15조에 의한 신고의 조건은 무엇인가요?
q_4_0737	「공무원 행동강령」제15조에 의한 신고의 대상자는 누구인가요?
q_4_0738	「공무원 행동강령」제15조에 의한 신고를 하려면 어떻게 해야 하나요?
q_4_0739	「공무원 행동강령」제15조에 의한 신고의 처리 기한이 어떻게 되나요?
q_4_0744	외부강의는 소속 부서장의 사전 결재를 받아 출강해야 함과 관련하여 금지되는 사항을 알려주세요.
q_4_0745	외부강의는 소속 부서장의 사전 결재를 받아 출강해야 함을 위반하면 어떻게 되나요?
q_4_0747	외부강의는 소속 부서장의 사전 결재를 받아 출강해야 함이 적용되지 않는 경우는 언제인가요?
q_4_0752	외부강의 출강시 복무관리 철저 신청 방법을 알려주세요.
q_4_0754	외부강의 출강시 복무관리 철저의 승급 인정은 어떻게 되나요?
q_4_0755	교원이 외부강의에 출강할 때 복무 처리는 어떻게 해야 하나요?
q_4_0756	외부강의 출강시 복무관리 철저가 적용되지 않는 경우는 언제인가요?
q_4_0758	외부강의 출강시 복무관리 철저의 법적 근거는 무엇인가요?
q_4_0760	「국가공무원 복무규정」제26조에 의한 겸직허가가 교원의 신분에 미치는 영향은 무엇인가요?
q_4_0761	「국가공무원 복무규정」제26조에 의한 겸직허가를 잘못 처리하면 어떤 문제가 생기나요?
q_4_0763	「공무원 행동강령」제15조에 의한 신고에서 가장 중요한 조건은 무엇인가요?
q_4_0764	「공무원 행동강령」제15조에 의한 신고과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_0765	신규 교사가 「공무원 행동강령」제15조에 의한 신고에 대해 알아야 할 사항은 무엇인가요?
q_4_0766	신규 교사가 외부강의는 소속 부서장의 사전 결재를 받아 출강해야 함에 대해 알아야 할 사항은 무엇인가요?
q_4_0767	외부강의는 소속 부서장의 사전 결재를 받아 출강해야 함과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_0769	외부강의 출강시 복무관리 철저에서 가장 중요한 조건은 무엇인가요?
q_4_0770	외부강의 출강시 복무관리 철저 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_4_0771	외부강의 출강시 복무관리 철저에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_4_0772	외부강의 관련 규정에서 핵심적으로 알아야 할 사항은 무엇인가요?
q_4_0774	교원의 외부강의에 적용되는 관련 규정에는 어떤 것들이 있나요?
q_4_0777	교원이 외부강의를 하려면 사전에 어떤 사항을 확인하고 처리해야 하나요?
q_4_0779	「국가공무원 복무규정」제26조에 의한 겸직허가의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_0781	외부강의등의 범위는 얼마나 인정되나요?
q_4_0785	사회자와의 개별 방송 인터뷰에 응하는 경우 어떻게 처리하나요?
q_4_0794	신고대상: 사례금을 받는 외부강의등을 하려면 어떤 요건이 필요한가요?
q_4_0795	신고대상: 사례금을 받는 외부강의등 신청 자격이 있는 사람은 누구인가요?
q_4_0799	신고대상: 사례금을 받는 외부강의등의 단서 조항이 있나요?
q_4_0801	신고대상: 사례금을 받는 외부강의등에서 10일이라는 기준은 어떤 의미인가요?
q_4_0827	각 기관에서는 겸직허가 대장을 비치·관리  #### 차에 대해 자세히 설명해주세요.
q_4_0829	횟수를 초과하는 외부강의는 미리 소속기관의 장의 승인을 득함 과정에서 「청탁금지법」 제10조에 의한 외부강의등의 신고 [경기도교육청 감사관-2971(2025. 2.18.)]가 어떻게 적용되나요?
q_4_0831	교원 인사 업무에서 외부강의등의 범위가 실제로 어떻게 적용되나요?
q_4_0832	신고대상: 사례금을 받는 외부강의등에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_0833	교사가 외부강의로 받을 수 있는 강의료 상한액은 얼마인가요?
q_4_0834	청탁금지법상 외부강의 사례금 상한액은 얼마인가요?
q_4_0835	초과사례금을 받았을 때 어떻게 해야 하나요?
q_4_0836	월 몇 회까지 대가를 받고 외부강의를 할 수 있나요?
q_4_0837	외부강의등의 초과사례금 수수 제한을 하려면 어떻게 해야 하나요?
q_4_0838	외부강의 시 초과사례금 수수가 제한되는 기준과 금액은 어떻게 되나요?
q_4_0839	외부강의등의 초과사례금 수수 제한에서 금지되는 행위는 무엇인가요?
q_4_0841	초과사례금을 받은 경우 관련 규정이 어떻게 되나요?
q_4_0843	외부강의등의 초과사례금 수수 제한에서 2일이라는 기준은 어떤 의미인가요?
q_4_0852	교원에게 외부강의가 제한되는 경우는 어떤 경우인가요?
q_4_0853	외부강의등의 제한을 위해 필요한 서류는 무엇인가요?
q_4_0854	외부강의등의 제한의 일수는 어떻게 되나요?
q_4_0856	외부강의등의 제한에서 금지되는 행위는 무엇인가요?
q_4_0859	만약 소속 기관의 장은 신고된 외부강의등이 공정한 직무수행을 저해할 수 있다고 판단하는 경우 어떻게 되나요?
q_4_0860	기타 유의사항의 처리 절차가 궁금합니다.
q_4_0861	기타 유의사항의 절차는 어떻게 되나요?
q_4_0867	동일한 교육과정으로 일정 기간 여러 차례 출강하는 경우 필요한 서류가 있나요?
q_4_0871	외부강의등의 제한에 관한 규정이 최근에 어떻게 바뀌었나요?
q_4_0874	학교에서 기타 유의사항 관련 업무를 처리하려면 어떻게 해야 하나요?
q_4_0875	기타 유의사항 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_4_0877	외부강의과 관련된 모든 규정을 정리해주세요.
q_4_0880	청탁금지법에 따른 외부강의 신고 의무와 초과사례금 수수 제한은 어떻게 되나요?
q_4_0881	교원 인사 업무에서 「청탁금지법」 제10조에 의한 외부강의등의 신고가 실제로 어떻게 적용되나요?
q_4_0882	외부강의등의 초과사례금 수수 제한에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_0957	- 수업에서 다루지 않고 해당 콘텐츠에만 포함된 내용이 유아·학생 평가에 반영되는 등 평가의 공정성을 해쳐서는 안 됨에 대한 세부 내용을 알려주세요.
q_4_0958	복무에서 「교원의 인터넷 개인 미디어 활동 지침」의 준수사항 검토가 중요한 이유는 무엇인가요?
q_4_0960	교원 인터넷 미디어 활동이 겸직허가 대상인지 판단하는 기준은 무엇인가요?
q_4_0961	겸직허가 요건 검토 관련하여 ○ 타인의 초상권을 침해하는 콘텐츠가 있는지?의 기준은 무엇인가요?
q_4_0962	겸직허가 요건 검토의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_0964	교원 인사 업무에서 ○ 직무 능률을 떨어뜨릴 우려가 있는지?가 실제로 어떻게 적용되나요?
q_4_0965	교원의 휴가 종류에는 어떤 것들이 있나요?
q_4_0966	교원이 방학 중에 해외여행을 가려면 어떻게 해야 하나요?
q_4_0967	교원의 휴가 종류는 어떤 것들이 있나요?
q_4_0968	교원이 휴업일(방학)에 해외여행을 가려면 어떻게 해야 하나요?
q_4_0969	교육공무원법 제41조 연수는 무엇인가요?
q_4_0972	교원의 휴가 종류는 어떤 것이 있나요?
q_4_0973	교원의 휴가는 어떻게 구분되나요?
q_4_0975	◦ 공무외의 국외여행에 관한 기간과 횟수를 알려주세요.
q_4_0976	◦ 공무외의 국외여행은 얼마나 인정되나요?
q_4_0979	◦ 공무외의 국외여행 중 보수는 어떻게 되나요?
q_4_0980	◦ 공무외의 국외여행을 사용하려면 어떻게 해야 하나요?
q_4_0983	◦ 공무외의 국외여행에 관한 규정이 최근에 어떻게 바뀌었나요?
q_4_0986	복무에서 ◦ 휴가제도의 운영이 중요한 이유는 무엇인가요?
q_4_0987	◦ 휴가제도의 운영 관련하여 ◦ 교원의 휴가에 관한 특례 적용 대상의 기준은 무엇인가요?
q_4_0988	교원의 휴가에 관한 특례 적용 대상은 누구이며, 공무외 국외여행은 어떻게 처리하나요?
q_4_0989	◦ 휴가제도의 운영에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_0990	교원 인사 업무에서 ◦ 교원의 휴가에 관한 특례 적용 대상이 실제로 어떻게 적용되나요?
q_4_0991	◦ 공무외의 국외여행 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_4_0993	휴가 중 토요일과 공휴일도 휴가일수에 포함되나요?
q_4_0994	학교장의 휴가는 누가 허가하나요?
q_4_0996	반일연가는 몇 시를 기준으로 하나요?
q_4_0998	병가일수가 30일을 넘으면 어떻게 계산하나요?
q_4_0999	학교장의 휴가는 어떻게 처리하나요?
q_4_1000	휴가기간 중 공휴일과 토요일은 휴가일수에 산입되나요?
q_4_1001	휴가 등의 승인권자 및 절차가 무엇을 뜻하는 건가요?
q_4_1002	휴가 등의 승인권자 및 절차의 개념이 궁금합니다.
q_4_1003	휴가 등의 승인권자 및 절차를 위해 필요한 서류는 무엇인가요?
q_4_1005	휴가 등의 승인권자 및 절차는 얼마나 인정되나요?
q_4_1009	휴가일수의 계산에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_1010	휴가일수의 계산 신청 자격이 있는 사람은 누구인가요?
q_4_1011	휴가일수의 계산의 절차는 어떻게 되나요?
q_4_1017	휴가실시 등에 있어 유의할 점 신청 방법을 알려주세요.
q_4_1018	휴가실시 등에 있어 유의할 점을 위해 필요한 서류는 무엇인가요?
q_4_1021	휴가실시 등에 있어 유의할 점 기간에 승급이 되나요?
q_4_1024	휴가 등의 승인권자 및 절차는 다른 규정과 어떤 관계가 있나요?
q_4_1025	휴가 등의 승인권자 및 절차가 교원의 신분에 미치는 영향은 무엇인가요?
q_4_1027	학교에서 휴가일수의 계산 관련 업무를 처리하려면 어떻게 해야 하나요?
q_4_1028	신규 교사가 휴가일수의 계산에 대해 알아야 할 사항은 무엇인가요?
q_4_1029	휴가일수의 계산에 관한 규정이 최근에 어떻게 바뀌었나요?
q_4_1030	휴가실시 등에 있어 유의할 점의 전체적인 내용을 요약해주세요.
q_4_1031	휴가실시 등에 있어 유의할 점의 법적 근거가 되는 규정은 무엇인가요?
q_4_1032	신규 교사가 휴가실시 등에 있어 유의할 점에 대해 알아야 할 사항은 무엇인가요?
q_4_1033	복무에서 휴가제도의 운영이 중요한 이유는 무엇인가요?
q_4_1035	교원의 휴가일수는 어떻게 계산하나요?
q_4_1036	교원이 휴가를 실시할 때 유의해야 할 사항은 무엇인가요?
q_4_1038	휴가제도의 운영 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_4_1039	교원 인사 업무에서 휴가일수의 계산이 실제로 어떻게 적용되나요?
q_4_1040	휴가실시 등에 있어 유의할 점 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_4_1041	연가는 며칠까지 쓸 수 있나요?
q_4_1042	지각, 조퇴, 외출의 차이가 무엇인가요?
q_4_1045	지각, 조퇴, 외출의 차이가 뭔가요?
q_4_1046	교사의 연가 일수는 얼마인가요? 재직기간별로 연가가 달라지나요?
q_4_1047	재직기간별 연가일수는 며칠인가요?
q_4_1048	교원의 연가는 재직기간에 따라 며칠인가요?
q_4_1049	지각, 조퇴, 외출의 정의가 무엇인가요?
q_4_1050	지각, 조퇴, 외출의 정의는 무엇인가요?
q_4_1054	재직기간에 따른 연가일수는 어떻게 되나요?
q_4_1055	연가를 거의 사용하지 않으면 다음해에 가산이 되나요?
q_4_1056	육아휴직은 재직기간에 산입되나요?
q_4_1057	교원도 법정 연가 일수가 재직기간에 따라 다른가요?
q_4_1058	전보 시 휴가기록은 어떻게 인계하나요?
q_4_1059	휴가실시 등에 있어 유의할 점은 무엇인가요?
q_4_1061	휴가실시 등에 있어 유의할 점에 관한 기간과 횟수를 알려주세요.
q_4_1062	휴가실시 등에 있어 유의할 점 대상자는 어떻게 선발하나요?
q_4_1064	휴가실시 등에 있어 유의할 점에서 실무적으로 주의할 점은 무엇인가요?
q_4_1066	어떤 경우에 연가일수가 가능한가요?
q_4_1067	연가일수를 받을 수 있는 자격이 궁금합니다.
q_4_1068	연가일수의 횟수 제한이 있나요?
q_4_1073	재직기간의 자격 요건이 어떻게 되나요?
q_4_1074	재직기간 신청 자격이 있는 사람은 누구인가요?
q_4_1075	재직기간을 신청할 때 유의사항이 있나요?
q_4_1078	재직기간의 횟수 제한이 있나요?
q_4_1080	및 법령에 의한 의무수행이나 공무상 질병 또는 부상으로 인한 경우 어떤 절차를 밟아야 하나요?
q_4_1081	휴가실시 등에 있어 유의할 점과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_1082	휴가실시 등에 있어 유의할 점의 구체적인 적용 사례를 알려주세요.
q_4_1085	연가일수에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_4_1089	재직기간에 관한 규정이 최근에 어떻게 바뀌었나요?
q_4_1090	휴가제도의 운영 규정의 주요 포인트를 설명해주세요.
q_4_1091	휴가 실시에 있어서 사전 승인, 잔여 연가 관리 등 유의사항은 무엇인가요?
q_4_1092	연가, 병가, 공가, 특별휴가 등 휴가 종류별 실시방법의 기본 기준은 무엇인가요?
q_4_1093	휴가제도의 운영의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_1094	휴가실시 등에 있어 유의할 점에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_1095	휴가종류별 실시방법 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_4_1096	수업일에도 연가를 쓸 수 있나요?
q_4_1097	반일연가도 사용할 수 있나요?
q_4_1098	다음 해 연가를 미리 당겨 쓸 수 있나요?
q_4_1099	수업일에 연가를 쓸 수 있나요?
q_4_1100	연가를 다 썼는데 더 필요하면 어떻게 하나요?
q_4_1101	연가를 미리 당겨 쓸 수 있나요?
q_4_1102	교사가 수업일에 연가를 쓸 수 있나요? 어떤 경우에 가능한가요?
q_4_1103	연가를 미리 당겨서 쓸 수 있나요? 다음 재직기간 연가 미리 사용 가능한가요?
q_4_1104	교원이 수업일에 연가를 사용할 수 있는 경우는 언제인가요?
q_4_1106	수업일 중 연가를 사용할 수 있는 경우는 언제인가요?
q_4_1107	다음 재직기간의 연가를 미리 사용할 수 있나요?
q_4_1115	직계존비속 또는 형제·자매의 질병, 부상 등으로 일시적인 간호 또는 위로가 필요하다고 인정되는 경우 어떤 절차를 밟아야 하나요?
q_4_1116	다음 재직기간 연가 사용의 자격 요건이 어떻게 되나요?
q_4_1117	다음 재직기간 연가 사용에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_1118	다음 재직기간 연가 사용의 처리 기한이 어떻게 되나요?
q_4_1127	다음 재직기간 연가 사용에 대한 핵심 포인트를 정리해주세요.
q_4_1128	다음 재직기간 연가 사용과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_1130	휴가종류별 실시방법에 대한 전반적인 내용을 요약해주세요.
q_4_1132	교원의 연가 승인 절차와 기준은 어떻게 되나요?
q_4_1134	교원 인사 업무에서 휴가종류별 실시방법이 실제로 어떻게 적용되나요?
q_4_1135	연가의 승인 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_4_1137	휴직하면 연가일수가 줄어드나요?
q_4_1139	다음 재직기간 연가 사용 신청 자격이 있는 사람은 누구인가요?
q_4_1140	다음 재직기간 연가 사용을 위해 필요한 서류는 무엇인가요?
q_4_1141	다음 재직기간 연가 사용에 관한 기간과 횟수를 알려주세요.
q_4_1144	연가일수의 공제의 정의가 어떻게 되나요?
q_4_1145	연가일수의 공제는 무엇인가요?
q_4_1146	연가일수의 공제의 기간은 얼마나 되나요?
q_4_1148	연가일수의 공제의 유형을 알려주세요.
q_4_1151	호에 의한 법정의무수행 휴직이나 공무상 질병 또는 부상으로 인하여 휴직한 경우 어떻게 처리하나요?
q_4_1152	다음 재직기간 연가 사용을 한눈에 이해할 수 있도록 설명해주세요.
q_4_1153	학교에서 다음 재직기간 연가 사용 관련 업무를 처리하려면 어떻게 해야 하나요?
q_4_1154	학교장이 다음 재직기간 연가 사용 관련하여 권한이 있나요?
q_4_1155	연가일수의 공제의 전체적인 내용을 요약해주세요.
q_4_1158	휴가종류별 실시방법 규정의 주요 포인트를 설명해주세요.
q_4_1159	휴가종류별 실시방법에서 다음 재직기간 연가 사용에 대한 규정은 무엇인가요?
q_4_1160	재직기간별 연가일수와 연가일수 공제 기준은 어떻게 되나요?
q_4_1163	다음 재직기간 연가 사용에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_1164	연가일수의 공제의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_1165	공무상 병가는 어떻게 받나요?
q_4_1166	공무상 병가는 일반 병가와 뭐가 다른가요?
q_4_1167	공무상 병가와 일반병가의 차이점은 무엇인가요?
q_4_1168	공무상 병가는 며칠까지 사용할 수 있나요?
q_4_1169	병가의 승인의 처리 기한이 어떻게 되나요?
q_4_1170	교원의 병가 승인 절차와 요건은 어떻게 되나요?
q_4_1172	병가의 승인의 횟수 제한이 있나요?
q_4_1173	병가의 승인 기간에 승급이 되나요?
q_4_1178	공무상 병가제도의 운영상 유의사항을 위해 필요한 서류는 무엇인가요?
q_4_1179	공무상 병가제도의 운영상 유의사항 기간은 어떻게 계산하나요?
q_4_1181	공무상 병가제도의 운영상 유의사항의 예외 사항이 있나요?
q_4_1185	병가의 승인에서 가장 중요한 조건은 무엇인가요?
q_4_1186	병가의 승인이 교원의 신분에 미치는 영향은 무엇인가요?
q_4_1187	병가의 승인 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_4_1188	공무상 병가제도의 운영상 유의사항에 대한 핵심 포인트를 정리해주세요.
q_4_1190	공무상 병가제도의 운영상 유의사항의 전체적인 내용을 요약해주세요.
q_4_1191	휴가종류별 실시방법에서 병가의 기간은 기관장(승인권자)이 해당 공무원의 직무수는 어떤 내용인가요?
q_4_1192	공무상 병가의 실시에 있어서 공무상 질병·부상사실 여부에 대해 자세히 설명해주세요.
q_4_1193	교원의 휴가 종류별(연가, 병가, 공가, 특별휴가) 실시방법을 전반적으로 알려주세요.
q_4_1195	교원 병가 승인의 세부 기준과 휴직 후 복직 시 병가 처리는 어떻게 되나요?
q_4_1198	휴가종류별 실시방법이 교원의 경력에 어떤 영향을 미치나요?
q_4_1199	병가의 승인이 교원의 경력에 어떤 영향을 미치나요?
q_4_1200	교원 인사 업무에서 공무상 병가제도의 운영상 유의사항이 실제로 어떻게 적용되나요?
q_4_1201	병가일수는 어떻게 계산하나요?
q_4_1202	병가 일수가 30일을 넘으면 주말도 병가일수에 포함되나요?
q_4_1203	병가의 사례에 대해 구체적으로 설명해주세요.
q_4_1206	병가의 사례를 하려면 어떻게 해야 하나요?
q_4_1207	병가의 사례의 기간은 얼마나 되나요?
q_4_1210	교사가 휴가기간이란 휴가시작일과 종료일을 말하므로 각각 다른 사유의 병가를 사용하는 경우 어떻게 해야 하나요?
q_4_1211	병가의 사례 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_4_1212	병가의 사례가 교원의 신분에 미치는 영향은 무엇인가요?
q_4_1214	휴가종류별 실시방법에서 3일 + ② 7일 + ③ 19일 + ④ 12일 = 41일  ☞ 휴가기간이란 휴가시작일과 종료일을 말하므로 각각 다른 사유의 병가를 사용하는 경은 어떤 내용인가요?
q_4_1216	교원 병가와 관련된 구체적인 사례에는 어떤 것이 있나요?
q_4_1219	병가의 사례 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_4_1220	공가는 어떤 경우에 받을 수 있나요?
q_4_1223	공가 승인 사유를 신청할 때 유의사항이 있나요?
q_4_1225	공가 승인 사유 기간은 어떻게 계산하나요?
q_4_1230	공가제도의 운영상 유의사항의 조건은 무엇인가요?
q_4_1231	어떤 경우에 공가제도의 운영상 유의사항이 가능한가요?
q_4_1232	공가제도의 운영상 유의사항의 절차는 어떻게 되나요?
q_4_1235	공가제도의 운영상 유의사항의 일수는 어떻게 되나요?
q_4_1237	교사가 행사 참가는 학교의 장이 선수·심판 등 공가활용이 불가피하다고 인정되는 경우 어떻게 해야 하나요?
q_4_1240	학교장이 공가 승인 사유 관련하여 권한이 있나요?
q_4_1241	공가제도의 운영상 유의사항과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_1242	공가제도의 운영상 유의사항을 잘못 처리하면 어떤 문제가 생기나요?
q_4_1244	휴가종류별 실시방법의 6번째 항목은 무엇인가요?
q_4_1245	복무에서 휴가종류별 실시방법이 중요한 이유는 무엇인가요?
q_4_1246	교원에게 공가가 승인되는 구체적인 사유에는 어떤 것들이 있나요?
q_4_1248	교원 휴가 종류별 실시방법에 관한 법적 근거는 무엇인가요?
q_4_1249	공가 승인 사유가 교원의 경력에 어떤 영향을 미치나요?
q_4_1253	공가는 어떤 경우에 사용할 수 있나요?
q_4_1254	공가제도의 운영상 유의사항의 처리 절차가 궁금합니다.
q_4_1255	공가제도의 운영상 유의사항하면 어떤 효과가 있나요?
q_4_1256	공가제도를 운영할 때 주의해야 할 사항은 무엇인가요?
q_4_1257	공가제도의 운영상 유의사항의 법적 근거는 무엇인가요?
q_4_1258	에 의한 총회, 대의원회, 조합연수, 조합행사, 설명회, 기타 조합회의 및 집회 등에 참석하는 경우 주의해야 할 점이 있나요?
q_4_1259	공가의 사례를 받을 수 있는 자격이 궁금합니다.
q_4_1261	공가의 사례의 절차는 어떻게 되나요?
q_4_1264	공가의 사례는 몇 년까지 가능한가요?
q_4_1266	기타 개별법령에 의한 자격취득이 공무원 임용요건으로 의무화된 경우 어떤 절차를 밟아야 하나요?
q_4_1267	공가제도의 운영상 유의사항 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_4_1268	공가제도의 운영상 유의사항에서 서류 제출 기한은 어떻게 되나요?
q_4_1270	공가의 사례과 관련된 참고 서식이 있나요?
q_4_1271	학교에서 공가의 사례 관련 업무를 처리하려면 어떻게 해야 하나요?
q_4_1272	공가의 사례의 행정 처리 담당자는 누구인가요?
q_4_1275	공가제도의 운영상 유의사항에서 공가의 사례에 대한 규정은 무엇인가요?
q_4_1276	휴가종류별 실시방법에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_1277	공가제도의 운영상 유의사항 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_4_1278	교원 인사 업무에서 공가의 사례가 실제로 어떻게 적용되나요?
q_4_1279	코로나19 예방접종도 공가 대상인가요?
q_4_1280	배우자 출산휴가는 어떻게 사용하나요?
q_4_1282	배우자 출산휴가 분할 사용이 가능한가요?
q_4_1284	경조사휴가에 원격지 가산일이 있나요?
q_4_1285	배우자 출산휴가가 며칠로 늘어났나요?
q_4_1287	배우자 출산휴가는 며칠이고, 언제까지 사용해야 하나요? 분할 사용이 가능한가요?
q_4_1288	공가의 사례의 조건은 무엇인가요?
q_4_1289	공가의 사례의 자격 요건이 어떻게 되나요?
q_4_1291	공가의 사례를 사용하려면 어떻게 해야 하나요?
q_4_1295	경조사휴가의 절차는 어떻게 되나요?
q_4_1296	경조사휴가의 처리 기한이 어떻게 되나요?
q_4_1300	경조사휴가의 예외 사항이 있나요?
q_4_1301	경조사휴가의 법적 근거는 무엇인가요?
q_4_1303	공가의 사례을 한눈에 이해할 수 있도록 설명해주세요.
q_4_1304	공가의 사례에 대한 핵심 포인트를 정리해주세요.
q_4_1305	공가의 사례의 전체적인 내용을 요약해주세요.
q_4_1306	경조사휴가의 법적 근거가 되는 규정은 무엇인가요?
q_4_1308	휴가종류별 실시방법의 2번째 항목은 무엇인가요?
q_4_1312	휴가종류별 실시방법의 구체적인 적용 기준과 범위를 설명해주세요.
q_4_1314	공가의 사례의 구체적인 적용 기준과 범위를 설명해주세요.
q_4_1315	사실혼 배우자의 부모님 돌아가시면 경조사휴가 받을 수 있나요?
q_4_1316	사실혼 배우자의 경조사휴가도 받을 수 있나요?
q_4_1317	사실혼 배우자의 경조사휴가가 가능한가요?
q_4_1318	휴가종류별 실시방법과 관련된 모든 규정을 정리해주세요.
q_4_1319	휴가종류별 실시방법에서 특별 휴가에 대한 규정은 무엇인가요?
q_4_1320	교원의 경조사휴가 일수와 대상 범위는 어떻게 되나요?
q_4_1321	특별 휴가의 구체적인 적용 기준과 범위를 설명해주세요.
q_4_1322	경조사휴가의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_1323	유산하면 휴가를 며칠 받을 수 있나요?
q_4_1325	출산휴가는 몇 일인가요?
q_4_1327	출산휴가는 며칠이고, 출산 전에도 사용할 수 있나요?
q_4_1328	여성교원의 출산휴가는 며칠인가요?
q_4_1329	출산휴가를 출산 전에 나누어 사용할 수 있나요?
q_4_1331	출산휴가를 하려면 어떤 요건이 필요한가요?
q_4_1334	교원의 출산휴가 기간과 급여 지급 기준은 어떻게 되나요?
q_4_1336	출산휴가의 법적 근거가 되는 규정은 무엇인가요?
q_4_1337	출산휴가의 전체적인 내용을 요약해주세요.
q_4_1339	교원에게 부여되는 특별휴가의 종류와 내용은 무엇인가요?
q_4_1340	교원의 출산휴가 관련 세부 규정과 기준은 무엇인가요?
q_4_1341	휴가종류별 실시방법와 관련하여 임용권자의 역할은 무엇인가요?
q_4_1342	출산휴가 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
