q_2_0146	순회교사 복무는 어떻게 관리하나요?
q_3_0973	휴직사유에서 휴직의 요건에 대한 규정은 무엇인가요?
q_3_0985	2-3. 불임·난임휴직과 관련하여 임용권자의 역할은 무엇인가요?
q_3_0992	복직절차의 예외 사항이 있나요?
q_3_0995	공무원보수규정의 일수는 어떻게 되나요?
q_3_1025	휴직의 요건과 관련하여 임용권자의 역할은 무엇인가요?
q_3_1124	교육공무원 승진규정 기간은 어떻게 계산하나요?
q_3_1147	청원휴직 허가를 위한 심사기준을 충족하려면 어떤 요건이 필요한가요?
q_3_1179	청원휴직과 관련하여 본 기준 이외에 심사에 필요한 경우 어떻게 처리하나요?
q_3_1183	교육공무원 청원휴직 심사기준과 관련하여 임용권자의 역할은 무엇인가요?
q_4_0014	국가공무원 복무·징계 관련 예규의 종류와 내용은 무엇인가요?
q_4_0063	공무원 취임 시 선서를 해야 하나요?
q_4_0070	수사 회피를 위해 직장을 이탈했는데 무혐의 처분을 받으면 징계를 면할 수 있나요?
q_4_0084	복무일반 규정의 주요 포인트를 설명해주세요.
q_4_0096	정치운동의 금지에는 어떤 것들이 포함되나요?
q_4_0198	갑작스런 발병 등으로 휴가신청을 대행하는 경우 어떻게 처리하나요?
q_4_0224	수업일의 처리 기한이 어떻게 되나요?
q_4_0270	어떤 경우에 겸임이 가능한가요?
q_4_0277	직위와 직무내용이 유사하고 담당직무 수행에 지장이 없다고 인정되는 경우 어떤 절차를 밟아야 하나요?
q_4_0278	겸임의 대상자는 누구인가요?
q_4_0283	임용권자 또는 임용제청권자는 다음 각 호의 어느 하나에 해당하는 경우 관련 규정이 어떻게 되나요?
q_4_0284	관련교과나 업무를 담당할 전문인력의 확보를 위하여 필요한 경우 주의해야 할 점이 있나요?
q_4_0401	사례 5】 기타의 일수는 어떻게 되나요?
q_4_0428	적용 대상 및 범위에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_0432	적용 대상 및 범위에서 주의해야 할 점은 무엇인가요?
q_4_0434	적용 대상 및 범위에서 실무적으로 주의할 점은 무엇인가요?
q_4_0437	국가공무원법령 규정에 따른 원칙의 대상자는 누구인가요?
q_4_0438	국가공무원법령 규정에 따른 원칙에 해당하는 것들은 무엇인가요?
q_4_0439	국가공무원법령 규정에 따른 원칙을 분류하면 어떻게 되나요?
q_4_0452	적용 대상 및 범위에서 서류 제출 기한은 어떻게 되나요?
q_4_0455	국가공무원법령 규정에 따른 원칙을 한눈에 이해할 수 있도록 설명해주세요.
q_4_0457	국가공무원법령 규정에 따른 원칙에서 자주 혼동되는 부분은 무엇인가요?
q_4_0467	교원의 사교육업체 관련 겸직은 허가가 가능한가요? 원칙은 무엇인가요?
q_4_0482	사교육업체 관련 겸직 허가 원칙의 ②번째 항목은 무엇인가요?
q_4_0483	사교육업체 관련 겸직 허가 원칙에 대한 전반적인 내용을 요약해주세요.
q_4_0487	사교육업체 관련 겸직 허가 원칙와 관련하여 임용권자의 역할은 무엇인가요?
q_4_0488	사교육업체가 아닌 기관에서의 겸직 허가 원칙과 확인 사항은 무엇인가요?
q_4_0521	사교육업체가 아닌 경우의 겸직 허가 원칙과 관련된 모든 규정을 정리해주세요.
q_4_0523	사교육업체가 아닌 평생직업교육학원에서의 겸직은 어떤 기준으로 허가되나요?
q_4_0525	사교육업체가 아닌 경우의 겸직 허가 원칙의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_0534	겸직 허가 절차의 기간은 얼마나 되나요?
q_4_0569	참고 : 인터넷 개인 미디어 활동 영역 ]가 제한되는 경우는 언제인가요?
q_4_0572	교원의 인터넷 미디어 활동에서 비밀 누설 금지와 품위 유지 의무는 어떻게 적용되나요?
q_4_0586	「교원 인터넷 개인 미디어 활동 지침」(2022. 1. 1.)에서 본인 또는 다른 사람의 콘텐츠(영상, 음성, 사는 어떤 내용인가요?
q_4_0613	A1의 근무시간 중 교사들의 개인 일상을 담은 유튜브 브이로그 촬영은 가능한가요?는 어떻게 되나요?
q_4_0643	관련 질의·응답의 법적 근거는 무엇인가요?
q_4_0648	A6의 유아·학생과 학부모(보호자)로부터 촬영 및 초상권 동의를 받았지만, 동의서 등 관련 증빙 서류를 보관하지 못하고 있는 경우 어떻게 해야 하나요?는 어떻게 되나요?
q_4_0649	A7의 유아·학생과 학부모(보호자)로부터 촬영 및 초상권 동의를 받았지만, 동의서 등 관련 증빙 서류를 보관하지 못하고 있는 경우 어떻게 해야 하나요?는 어떻게 되나요?
q_4_0651	복무에서 관련 질의·응답이 중요한 이유는 무엇인가요?
q_4_0664	인터넷 개인방송 겸직심사위원회는 반드시 운영해야 하나요?
q_4_0691	겸직허가에서 겸직 허가권자 : 소속 기관의 장(학교(원)장 등)에 대한 규정은 무엇인가요?
q_4_0692	겸직 허가권자 : 소속 기관의 장(학교(원)장 등)에서 겸직 허가기준에 대한 규정은 무엇인가요?
q_4_0705	비영리 업무일지라도 계속성이 있다고 판단되는 경우 필요한 서류가 있나요?
q_4_0707	실태조사 및 관리상 유의사항을 확인하려면 어떤 요건이 필요한가요?
q_4_0717	A11의 가족이나 지인 등 타인이 개설한 인터넷 (개인) 미디어에 출연하거나 기획 등 운영에 참여하는 경우에도 겸직허가를 받아야 하나요?는 어떻게 되나요?
q_4_0782	'외부강의등'에 해당하지 않는 경우에 관한 기간과 횟수를 알려주세요.
q_4_0787	국민권익위원회 청탁금지법 매뉴얼을 받을 수 있는 자격이 궁금합니다.
q_4_0788	국민권익위원회 청탁금지법 매뉴얼 신청 자격이 있는 사람은 누구인가요?
q_4_0789	국민권익위원회 청탁금지법 매뉴얼은 몇 년까지 가능한가요?
q_4_0792	국민권익위원회 청탁금지법 매뉴얼과 관련하여 금지되는 사항을 알려주세요.
q_4_0802	신고대상에서 제외되는 '국가기관 및 지방자치단체'의 범위에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_0803	신고대상에서 제외되는 '국가기관 및 지방자치단체'의 범위를 하려면 어떤 요건이 필요한가요?
q_4_0804	신고대상에서 제외되는 '국가기관 및 지방자치단체'의 범위를 신청할 때 유의사항이 있나요?
q_4_0805	신고대상에서 제외되는 '국가기관 및 지방자치단체'의 범위의 처리 기한이 어떻게 되나요?
q_4_0808	놓치기 쉬운 신고의무대상 기관(※ 국가기관 및 지방자치단체에 포함되지 않음)를 하려면 어떤 요건이 필요한가요?
q_4_0809	놓치기 쉬운 신고의무대상 기관(※ 국가기관 및 지방자치단체에 포함되지 않음)에 해당하려면 어떤 조건을 충족해야 하나요?
q_4_0810	놓치기 쉬운 신고의무대상 기관(※ 국가기관 및 지방자치단체에 포함되지 않음)의 처리 기한이 어떻게 되나요?
q_4_0811	놓치기 쉬운 신고의무대상 기관(※ 국가기관 및 지방자치단체에 포함되지 않음)의 절차는 어떻게 되나요?
q_4_0812	놓치기 쉬운 신고의무대상 기관(※ 국가기관 및 지방자치단체에 포함되지 않음) 기간은 어떻게 계산하나요?
q_4_0815	'외부강의등'에 해당하지 않는 경우의 행정 처리 담당자는 누구인가요?
q_4_0818	국민권익위원회 청탁금지법 매뉴얼의 행정 처리 담당자는 누구인가요?
q_4_0820	국민권익위원회 청탁금지법 매뉴얼을 한눈에 이해할 수 있도록 설명해주세요.
q_4_0821	신고대상에서 제외되는 '국가기관 및 지방자치단체'의 범위과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_0824	놓치기 쉬운 신고의무대상 기관(※ 국가기관 및 지방자치단체에 포함되지 않음)과 관련된 참고 서식이 있나요?
q_4_0825	놓치기 쉬운 신고의무대상 기관(※ 국가기관 및 지방자치단체에 포함되지 않음)에서 가장 중요한 조건은 무엇인가요?
q_4_0826	놓치기 쉬운 신고의무대상 기관(※ 국가기관 및 지방자치단체에 포함되지 않음)에서 자주 혼동되는 부분은 무엇인가요?
q_4_0844	적용대상별 사례금 상한액의 자격 요건이 어떻게 되나요?
q_4_0846	적용대상별 사례금 상한액의 절차는 어떻게 되나요?
q_4_0847	적용대상별 사례금 상한액을 신청할 때 유의사항이 있나요?
q_4_0849	적용대상별 사례금 상한액의 일수는 어떻게 되나요?
q_4_0850	적용대상별 사례금 상한액에서 실무적으로 주의할 점은 무엇인가요?
q_4_0868	적용대상별 사례금 상한액과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_0869	적용대상별 사례금 상한액과 관련된 참고 서식이 있나요?
q_4_0947	직무 능률을 떨어뜨릴 우려가 있는지?는 얼마나 인정되나요?
q_4_0949	직무 능률을 떨어뜨릴 우려가 있는지? 관련하여 자주 묻는 질문이 있나요?
q_4_0950	직무 능률을 떨어뜨릴 우려가 있는지?에서 52시간이라는 기준은 어떤 의미인가요?
q_4_0951	직무 능률을 떨어뜨릴 우려가 있는지?에서 1일이라는 기준은 어떤 의미인가요?
q_4_0952	공무에 부당한 영향을 끼칠 우려가 있는지?에 대한 규정은 어떻게 되어 있나요?
q_4_0953	공무에 부당한 영향을 끼칠 우려가 있는지?의 내용은 무엇인가요?
q_4_0955	공무에 부당한 영향을 끼칠 우려가 있는지?가 교원의 신분에 미치는 영향은 무엇인가요?
q_4_0956	공무에 부당한 영향을 끼칠 우려가 있는지?는 다른 규정과 어떤 관계가 있나요?
q_4_0963	타인의 초상권을 침해하는 콘텐츠가 있는지?의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_1051	전보·파견·전직·전출 시 휴가기록은 어떻게 처리하나요?
q_4_1108	교원휴가에 관한 예규 제5조 제1항의 내용은 무엇인가요?
q_4_1109	교원휴가에 관한 예규 제5조제1항을 위해 필요한 서류는 무엇인가요?
q_4_1111	교원휴가에 관한 예규 제5조제1항이 승진에 미치는 영향은 무엇인가요?
q_4_1114	교원휴가에 관한 예규 제5조제1항에서 실무적으로 주의할 점은 무엇인가요?
q_4_1124	교원휴가에 관한 예규 제5조제1항에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_4_1125	교원휴가에 관한 예규 제5조제1항을 한눈에 이해할 수 있도록 설명해주세요.
q_4_1136	교원휴가에 관한 예규 제5조제1항의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_1177	공무상 병가제도의 운영상 유의사항을 확인하려면 어떻게 해야 하나요?
q_4_1215	관련 사례에서 난임 진단서로 병가가 가능한지 ☞ 승인권자는 소속 공무원... 경우는 어떻게 판단하나요?
q_4_1218	공가에 대해 교육공무원 인사실무편람에서는 어떻게 규정하고 있나요?
q_4_1247	공가 승인 사유와 공가제도 운영 시 유의사항은 무엇인가요?
q_4_1250	공가제도의 운영상 유의사항과 관련하여 임용권자의 역할은 무엇인가요?
q_4_1273	관련 사례에서 국가기술자격법에 의한 기술자격취득자의 경우 자격의 유지를 ... 경우는 어떻게 판단하나요?
q_4_1365	육아휴직 중인 여성교원이 출산휴가 사용을 위해 출산예정일(...에 대한 판례나 해석이 어떻게 되나요?
q_4_1481	재해구호휴가에 관한 규정이 최근에 어떻게 바뀌었나요?
q_4_1527	교원 회복 지원 휴가를 사용하려면 어떻게 해야 하나요?
q_5_0020	정규교사의 결원, 교육부의 교원 배정정원 부족에 따른 특정교과를 한시적으로 담당하는 경우 주의해야 할 점이 있나요?
q_5_0048	공통사항을 확인하려면 어떤 요건이 필요한가요?
q_5_0078	임용 시 구비서류의 절차는 어떻게 되나요?
q_5_0079	임용 시 구비서류의 처리 기한이 어떻게 되나요?
q_5_0080	임용 시 구비서류는 몇 년까지 가능한가요?
q_5_0081	임용 시 구비서류 기간은 어떻게 계산하나요?
q_5_0084	임용 시 구비서류에서 실무적으로 주의할 점은 무엇인가요?
q_5_0085	마 임용 시 구비서류 계속의 처리 기한이 어떻게 되나요?
q_5_0102	임용 시 구비서류에서 자주 혼동되는 부분은 무엇인가요?
q_5_0103	임용 시 구비서류 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_5_0104	임용 시 구비서류에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_5_0110	학교에서 ※ 참고 사항 관련 업무를 처리하려면 어떻게 해야 하나요?
q_5_0111	계약제교원에서 계약제교원 운영 지침이 중요한 이유는 무엇인가요?
q_5_0113	계약제교원 운영 지침에서 공통사항에 대한 규정은 무엇인가요?
q_5_0114	공통사항에서 임용 시 구비서류에 대한 규정은 무엇인가요?
q_5_0115	계약제교원 운영 지침에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_5_0116	계약제교원 운영의 공통사항에 관한 법적 근거는 무엇인가요?
q_5_0117	임용 시 구비서류 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_5_0170	기간제교원 채용 시 차별적 질문을 해도 되나요?
q_5_0253	기간제교원에게 수당도 지급되나요?
q_5_0254	기간제교원도 수당을 받을 수 있나요?
q_5_0262	따라 퇴직연금일시금을 지급받거나, 연금수급이 가능한 개시 연령에 도달하여 퇴직연금을 지급받은 경우 필요한 서류가 있나요?
q_5_0318	임용 사유 및 요건 기간은 어떻게 계산하나요?
q_5_0320	교사가 교육과정 운영상 필요한 경우 어떻게 해야 하나요?
q_5_0327	만약 교권침해 사안 발생 시 긴급하게 대체강사를 요하는 경우 어떻게 되나요?
q_5_0344	임용 형태를 위해 필요한 서류는 무엇인가요?
q_5_0365	계약서에 명기의 일수는 어떻게 되나요?
q_5_0377	채용와 관련된 법적 근거는 무엇인가요?
q_5_0413	강사수당 단가 및 적용기준을 충족하려면 어떤 요건이 필요한가요?
q_5_0449	기간제교원의 연가는 며칠인가요?
q_5_0450	기간제교원의 출장은 어떻게 처리하나요?
q_5_0454	출장을 위해 필요한 서류는 무엇인가요?
q_5_0459	교사가 학생지도 및 교육관련 업무를 수행하기 위하여 필요한 경우 어떻게 해야 하나요?
q_5_0470	기간제교원의 병가는 얼마나 사용할 수 있나요?
q_5_0528	※ 근로기준법에 해당하는 것들은 무엇인가요?
q_5_0538	제품 또는 원료 등을 몰래 훔치거나 불법 반출한 경우 어떻게 처리하나요?
q_5_0682	특수학교와 특수학급에서 기간제교원 채용은 어떤 기준으로 해야 하나?의 자격 요건이 어떻게 되나요?
q_5_0683	특수학교와 특수학급에서 기간제교원 채용은 어떤 기준으로 해야 하나? 신청 자격이 있는 사람은 누구인가요?
q_5_0685	특수학교와 특수학급에서 기간제교원 채용은 어떤 기준으로 해야 하나?의 처리 절차가 궁금합니다.
q_5_0686	특수학교와 특수학급에서 기간제교원 채용은 어떤 기준으로 해야 하나?에 관한 기간과 횟수를 알려주세요.
q_5_0692	특수학교와 특수학급에서 기간제교원 채용은 어떤 기준으로 해야 하나?를 잘못 처리하면 어떤 문제가 생기나요?
q_5_0693	특수학교와 특수학급에서 기간제교원 채용은 어떤 기준으로 해야 하나?의 법적 근거가 되는 규정은 무엇인가요?
q_5_0694	특수학교와 특수학급에서 기간제교원 채용은 어떤 기준으로 해야 하나?의 특이사항이나 예외 규정이 있나요?
q_5_0741	기간제교원과 관련된 법적 근거는 무엇인가요?
q_5_0768	〈교육공무원법〉과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_5_0772	계약제교원 제도의 법적 운용 근거는 무엇인가요?
q_5_0806	계약제교원 관련하여 교원이 반드시 알아야 할 법령과 규정은 무엇인가요?
q_5_0807	계약제교원 운용 근거가 되는 법령에는 어떤 것들이 있나요?
q_5_0823	계약제교원과 관련된 교육공무원법, 초·중등교육법 등 주요 규정을 정리해 주세요.
q_5_0824	교육공무원법과 초·중등교육법에서 계약제교원 운용 근거는 무엇인가요?
q_5_0889	산업체 관련 최근 변경사항이 있나요?
q_5_0982	아동·청소년의 성보호에 관한 법률 시행령이 계약제교원 채용에 어떻게 적용되나요?
q_5_1009	아동복지법에서 계약제교원 채용 시 확인해야 할 결격사유 규정은 무엇인가요?
q_5_1018	자료전송 요청/승인 신청 방법을 알려주세요.
q_5_1040	계약제교원 인사기록카드 자료전송 방식을 위해 필요한 서류는 무엇인가요?
q_5_1041	계약제교원 인사기록카드 자료전송 방식의 처리 절차가 궁금합니다.
q_5_1048	NEIS에서 기간제교원의 인사기록은 어떻게 관리하나요?
q_5_1089	NEIS에서 기간제교원 인사기록을 관리하는 기준과 절차는 무엇인가요?
q_5_1104	퇴직처리는 어떻게 결정되나요?
q_5_1119	NEIS 기간제교원 인사기록 관리에서 경력증명 관련 규정은 무엇인가요?
q_5_1167	경기도교육청 계약제교원인력풀 시도교육청 선택 화면]의 처리 절차가 궁금합니다.
q_5_1168	경기도교육청 계약제교원인력풀 시도교육청 선택 화면]는 어떻게 진행되나요?
q_5_1170	인력풀지원의 절차는 어떻게 되나요?
q_5_1172	기본정보 입력항목:의 기간은 얼마나 되나요?
q_5_1173	기본정보 입력항목:는 얼마나 인정되나요?
q_5_1183	기본정보 입력항목:에 대한 핵심 포인트를 정리해주세요.
q_5_1184	기본정보 입력항목:의 행정 처리 담당자는 누구인가요?
q_5_1185	기본정보 입력항목:과 관련된 참고 서식이 있나요?
q_5_1190	기간제교원 인력풀에서 신청서를 선택하고 작성하는 방법은 무엇인가요?
q_5_1191	신청서 선택:의 처리 기한이 어떻게 되나요?
q_5_1192	신청서 선택:의 기간은 얼마나 되나요?
q_5_1193	신청서 선택:는 몇 년까지 가능한가요?
q_5_1195	신청서 선택:의 유형을 알려주세요.
q_5_1196	학교에서 신청서 선택: 관련 업무를 처리하려면 어떻게 해야 하나요?
q_5_1197	신청서 선택:에 대한 핵심 포인트를 정리해주세요.
q_5_1200	- 계약제교원인력풀 신청 방법(본인 신청)를 받을 수 있는 자격이 궁금합니다.
q_5_1201	- 계약제교원인력풀 신청 방법(본인 신청)를 하려면 어떤 요건이 필요한가요?
q_5_1202	계약제교원 인력풀에 본인이 직접 신청하는 방법은 무엇인가요?
q_5_1207	인력풀신청현황 화면]의 대상자는 누구인가요?
q_5_1215	지원청 담당자가 승인을 반려한 경우 관련 규정이 어떻게 되나요?
q_5_1216	- 계약제교원인력풀 신청 방법(본인 신청)에 관한 규정이 최근에 어떻게 바뀌었나요?
q_5_1217	- 계약제교원인력풀 신청 방법(본인 신청)에서 가장 중요한 조건은 무엇인가요?
q_5_1218	- 계약제교원인력풀 신청 방법(본인 신청)에서 서류 제출 기한은 어떻게 되나요?
q_5_1219	학교에서 승인 상태 설명: 관련 업무를 처리하려면 어떻게 해야 하나요?
q_5_1502	육아휴직 절차에서 가장 중요한 조건은 무엇인가요?
q_5_1505	어떤 경우에 육아휴직 사용이 가능한가요?
q_5_1506	육아휴직 사용의 조건은 무엇인가요?
q_5_1509	육아휴직 사용의 일수는 어떻게 되나요?
q_5_1510	육아휴직 사용에 관한 기간과 횟수를 알려주세요.
q_5_1511	육아휴직 사용 관련하여 자주 묻는 질문이 있나요?
q_5_1520	육아휴직 사용은 다른 규정과 어떤 관계가 있나요?
q_5_1521	육아휴직 사용을 한눈에 이해할 수 있도록 설명해주세요.
q_5_1526	기간제교사 육아휴직 시행에 관한 전반적인 안내 내용은 무엇인가요?
q_5_1528	기간제교사 육아휴직 시행 안내에서 육아휴직 사용에 대한 규정은 무엇인가요?
q_5_1530	출산휴가와 연계의 자격 요건이 어떻게 되나요?
q_5_1532	기간제교사가 출산휴가와 연계하여 육아휴직을 사용할 수 있나요?
q_5_1533	출산휴가와 연계를 신청할 때 유의사항이 있나요?
q_5_1534	출산휴가와 연계에 관한 기간과 횟수를 알려주세요.
q_5_1535	출산휴가와 연계의 기간은 얼마나 되나요?
q_5_1536	출산휴가와 연계 관련하여 자주 묻는 질문이 있나요?
q_5_1538	학교장이 출산휴가와 연계 관련하여 권한이 있나요?
q_5_1539	출산휴가와 연계의 구체적인 적용 사례를 알려주세요.
q_5_1541	기간제교사 육아휴직 시행 안내 규정의 주요 포인트를 설명해주세요.
q_5_1543	기간제교사 육아휴직 시행 안내에서 출산휴가와 연계에 대한 규정은 무엇인가요?
q_5_1544	출산휴가와 연계와 기타 사항의 관계는 어떻게 되나요?
q_5_1558	육아휴직 신청은 반드시 30일전에 해야 하는지? 신청 방법을 알려주세요.
q_5_1559	육아휴직 신청은 반드시 30일전에 해야 하는지?의 처리 절차가 궁금합니다.
q_5_1560	육아휴직 신청은 반드시 30일전에 해야 하는지?의 구분이 어떻게 되나요?
q_5_1561	육아휴직 신청은 반드시 30일전에 해야 하는지?에는 어떤 것들이 포함되나요?
q_5_1564	육아휴직 신청은 반드시 30일전에 해야 하는지?의 법적 근거는 무엇인가요?
q_5_1566	타 학교에서 1년의 육아휴직을 사용한 후, 새로운 학교에서 동일한 자녀의 양육을 사유로 신청할 경우 허용해야 하는지?를 위해 필요한 서류는 무엇인가요?
q_5_1567	타 학교에서 1년의 육아휴직을 사용한 후, 새로운 학교에서 동일한 자녀의 양육을 사유로 신청할 경우 허용해야 하는지?의 절차는 어떻게 되나요?
q_5_1568	타 학교에서 1년의 육아휴직을 사용한 후, 새로운 학교에서 동일한 자녀의 양육을 사유로 신청할 경우 허용해야 하는지?의 일수는 어떻게 되나요?
q_5_1570	타 학교에서 1년의 육아휴직을 사용한 후, 새로운 학교에서 동일한 자녀의 양육을 사유로 신청할 경우 허용해야 하는지?를 위반하면 어떻게 되나요?
q_5_1571	타 학교에서 1년의 육아휴직을 사용한 후, 새로운 학교에서 동일한 자녀의 양육을 사유로 신청할 경우 허용해야 하는지? 관련 제한사항이 있나요?
q_5_1574	육아휴직을 허용하지 않을 수 있는 경우는?의 횟수 제한이 있나요?
q_5_1575	육아휴직을 허용하지 않을 수 있는 경우는?의 기간은 얼마나 되나요?
q_5_1576	육아휴직을 허용하지 않을 수 있는 경우는?의 승급 인정은 어떻게 되나요?
q_5_1579	육아휴직을 허용하지 않을 수 있는 경우는?가 적용되지 않는 경우는 언제인가요?
q_5_1582	기간제교원으로 3개월 근무 후 출산전후휴가와 연계하여 육아휴직을 신청할 경우 허용해야 하는지?의 조건은 무엇인가요?
q_5_1583	기간제교원으로 3개월 근무 후 출산전후휴가와 연계하여 육아휴직을 신청할 경우 허용해야 하는지?를 받을 수 있는 자격이 궁금합니다.
q_5_1584	기간제교원으로 3개월 근무 후 출산전후휴가와 연계하여 육아휴직을 신청할 경우 허용해야 하는지?를 신청할 때 유의사항이 있나요?
q_5_1585	기간제교원으로 3개월 근무 후 출산전후휴가와 연계하여 육아휴직을 신청할 경우 허용해야 하는지?를 하려면 어떻게 해야 하나요?
q_5_1590	육아휴직 신청은 반드시 30일전에 해야 하는지?과 관련된 참고 서식이 있나요?
q_5_1591	육아휴직 신청은 반드시 30일전에 해야 하는지?에 대한 핵심 포인트를 정리해주세요.
q_5_1593	타 학교에서 1년의 육아휴직을 사용한 후, 새로운 학교에서 동일한 자녀의 양육을 사유로 신청할 경우 허용해야 하는지?에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_5_1596	육아휴직을 허용하지 않을 수 있는 경우는? 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_5_1597	육아휴직을 허용하지 않을 수 있는 경우는?에 관한 규정이 최근에 어떻게 바뀌었나요?
q_5_1598	육아휴직을 허용하지 않을 수 있는 경우는?의 구체적인 적용 사례를 알려주세요.
q_5_1599	기간제교원으로 3개월 근무 후 출산전후휴가와 연계하여 육아휴직을 신청할 경우 허용해야 하는지?의 법적 근거가 되는 규정은 무엇인가요?
q_5_1600	기간제교원으로 3개월 근무 후 출산전후휴가와 연계하여 육아휴직을 신청할 경우 허용해야 하는지?에서 서류 제출 기한은 어떻게 되나요?
q_5_1606	육아휴직 기간을 퇴직금 산정 시 근속기간에 포함하여야 하는지?의 개념이 궁금합니다.
q_5_1609	육아휴직 기간을 퇴직금 산정 시 근속기간에 포함하여야 하는지?를 하려면 어떤 요건이 필요한가요?
q_5_1612	육아휴직 기간을 퇴직금 산정 시 근속기간에 포함하여야 하는지?에서 실무적으로 주의할 점은 무엇인가요?
q_5_1613	육아휴직 기간에 해고가 발생한 경우 주의해야 할 점이 있나요?
q_5_1614	동일학교에서 근무했던 전(全)기간을 합산하여 6개월 이상 근무한 경우 육아휴직을 허용해야 하는지?의 기간은 얼마나 되나요?
