q_3_0979	휴직신청서류는 몇 년까지 가능한가요?
q_3_1139	교육공무원 청원휴직 심사기준의 대상자는 누구인가요?
q_3_1140	교육공무원 청원휴직 심사기준에 관한 기간과 횟수를 알려주세요.
q_3_1143	교육공무원 청원휴직 심사기준의 단서 조항이 있나요?
q_3_1144	교육공무원 청원휴직 심사기준 관련 최근 변경사항이 있나요?
q_3_1146	청원휴직 허가를 위한 심사기준에 해당하려면 어떤 조건을 충족해야 하나요?
q_3_1148	청원휴직 허가를 위한 심사기준을 신청할 때 유의사항이 있나요?
q_3_1149	청원휴직 허가 여부를 판단하는 심사기준은 무엇인가요?
q_3_1151	청원휴직 허가를 위한 심사기준에 관한 기간과 횟수를 알려주세요.
q_3_1153	유학휴직은 경기도 교원 국외 자비유학, 연수·연구 대상자 선정 기준을 적용하며, 특별한 경우 어떤 절차를 밟아야 하나요?
q_3_1154	교육공무원 청원휴직 심사기준의 특이사항이나 예외 규정이 있나요?
q_3_1155	교육공무원 청원휴직 심사기준을 잘못 처리하면 어떤 문제가 생기나요?
q_3_1156	교육공무원 청원휴직 심사기준에 대한 핵심 포인트를 정리해주세요.
q_3_1157	청원휴직 허가를 위한 심사기준과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_3_1158	청원휴직 허가를 위한 심사기준의 세부 기준을 설명해주세요.
q_3_1160	교육공무원 청원휴직 심사기준의 주요 내용은 무엇인가요?
q_3_1162	청원휴직 허가를 위한 구체적인 심사 항목과 기준은 무엇인가요?
q_3_1163	청원휴직 심사 시 행정적으로 확인해야 할 사항은 무엇인가요?
q_3_1164	청원휴직 허가를 위한 심사기준 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_3_1165	교육공무원 청원휴직 심사기준의 자격 요건이 어떻게 되나요?
q_3_1166	교육공무원 청원휴직의 종류별 심사기준은 어떻게 다른가요?
q_3_1167	교육공무원 청원휴직 심사기준을 위해 필요한 서류는 무엇인가요?
q_3_1168	교육공무원 청원휴직 심사기준은 어떻게 진행되나요?
q_3_1171	교육공무원 청원휴직 심사기준에 관한 규정이 최근에 어떻게 바뀌었나요?
q_3_1172	교육공무원 청원휴직 심사기준과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_3_1173	법령에서 말하는 연수휴직의 범위는 무엇인가요?
q_3_1174	교육공무원 청원휴직 심사기준 규정의 주요 포인트를 설명해주세요.
q_3_1175	교육공무원 청원휴직 심사기준이 교원의 경력에 어떤 영향을 미치나요?
q_3_1181	교육공무원 청원휴직 심사기준과 관련된 모든 규정을 정리해주세요.
q_3_1182	육아휴직 관련 규정의 세부 내용은 어떻게 되나요?
q_4_0001	교육공무원이 지켜야 할 복무상 의무에는 어떤 것들이 있나요?
q_4_0002	교장, 교감, 수석교사, 교사의 임무는 각각 무엇인가요?
q_4_0003	교원의 복무에 관한 법적 근거는 무엇인가요?
q_4_0004	교장, 교감, 교사의 임무는 각각 무엇인가요?
q_4_0005	공무원의 직무상 의무에는 어떤 것들이 있나요?
q_4_0006	교육공무원의 성실의무는 무엇인가요?
q_4_0007	복종의 의무에서 '소속상관'은 누구를 말하나요?
q_4_0008	교장·교감·교사의 임무는 무엇인가요?
q_4_0016	교직원의 임무를 위해 필요한 서류는 무엇인가요?
q_4_0017	교직원의 임무를 신청할 때 유의사항이 있나요?
q_4_0018	교직원의 임무에 특례가 적용되는 경우가 있나요?
q_4_0019	교직원의 임무가 적용되지 않는 경우는 언제인가요?
q_4_0024	직무상 의무의 개념이 궁금합니다.
q_4_0025	직무상 의무의 정의가 어떻게 되나요?
q_4_0027	직무상 의무의 양정 기준이 궁금합니다.
q_4_0029	복종의 의무에 대해 구체적으로 설명해주세요.
q_4_0033	교직원의 임무를 잘못 처리하면 어떤 문제가 생기나요?
q_4_0034	교직원의 임무에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_4_0036	직무상 의무과 관련된 참고 서식이 있나요?
q_4_0037	직무상 의무의 세부 기준을 설명해주세요.
q_4_0038	직무상 의무에 대한 핵심 포인트를 정리해주세요.
q_4_0039	복무일반에 대해 교원이 꼭 알아야 할 내용은 무엇인가요?
q_4_0041	교육공무원 복무와 관련된 주요 법규에는 어떤 것들이 있나요?
q_4_0042	초·중등교육법 제20조에 따른 교장, 교감, 수석교사, 교사의 임무는 각각 무엇인가요?
q_4_0045	교원 인사 업무에서 교직원의 임무가 실제로 어떻게 적용되나요?
q_4_0046	사직원을 제출했는데 수리되기 전에 출근하지 않으면 어떻게 되나요?
q_4_0047	공무원의 직장이탈 금지 의무를 위반하면 어떤 책임이 있나요?
q_4_0048	사직원 내고 나서 출근 안 하면 어떻게 되나요?
q_4_0049	직위해제 받으면 출근 안 해도 되나요?
q_4_0050	공무원이 금품 받았다가 돌려줘도 징계되나요?
q_4_0051	직장을 무단으로 이탈하면 어떻게 되나요?
q_4_0053	사직원을 제출한 후 무단결근하면 어떻게 되나요?
q_4_0054	교원이 직장을 이탈하면 어떻게 되나요?
q_4_0056	비밀 엄수 의무는 퇴직 후에도 적용되나요?
q_4_0058	공무원이 직장을 이탈하면 어떤 문제가 되나요?
q_4_0059	공무원의 청렴 의무 위반 시 금품을 반환하면 책임을 면할 수 있나요?
q_4_0060	공무원의 비밀 엄수 의무는 퇴직 후에도 적용되나요?
q_4_0061	공무원의 종교 중립 의무는 무엇인가요?
q_4_0062	공무원은 친절·공정의 의무가 있나요?
q_4_0064	수사기관이 공무원을 구속할 때 소속 기관장에게 통보해야 하나요?
q_4_0066	사직원을 제출했는데 수리 전에 출근하지 않아도 되나요?
q_4_0067	직위해제 처분을 받으면 출근하지 않아도 되나요?
q_4_0068	직무와 관련 없는 금품수수도 징계사유가 되나요?
q_4_0069	금품을 요구만 하고 받지 않았어도 징계받나요?
q_4_0071	금품을 반환하면 청렴 의무 위반을 면할 수 있나요?
q_4_0072	복무일반을 하려면 어떻게 해야 하나요?
q_4_0073	복무일반 신청 방법을 알려주세요.
q_4_0074	복무일반은 얼마나 인정되나요?
q_4_0075	복무일반의 일수는 어떻게 되나요?
q_4_0076	복무일반을 위반하면 어떻게 되나요?
q_4_0079	교사가 공무원이 사직원을 제출하였더라도 사직원이 수리되어 면직되기 전에 무단결근한 경우 어떻게 해야 하나요?
q_4_0081	복무일반의 세부 기준을 설명해주세요.
q_4_0085	교육공무원의 신분상 의무에는 어떤 것들이 있나요?
q_4_0086	교원 인사 업무에서 신분상 의무가 실제로 어떻게 적용되나요?
q_4_0087	교원 근무시간이 어떻게 되나요?
q_4_0088	품위손상 행위에는 어떤 것들이 있나요?
q_4_0089	교원의 근무시간은 어떻게 되나요?
q_4_0090	공무원의 신분상 의무에는 어떤 것들이 있나요?
q_4_0091	복무일반을 분류하면 어떻게 되나요?
q_4_0092	복무일반의 구분이 어떻게 되나요?
q_4_0093	복무일반의 예외 사항이 있나요?
q_4_0097	일반적 관리에 대해 구체적으로 설명해주세요.
q_4_0098	일반적 관리의 정의가 어떻게 되나요?
q_4_0099	일반적 관리를 하려면 어떤 요건이 필요한가요?
q_4_0101	일반적 관리의 처리 기한이 어떻게 되나요?
q_4_0102	일반적 관리를 하려면 어떻게 해야 하나요?
q_4_0105	복무일반에서 가장 중요한 조건은 무엇인가요?
q_4_0107	일반적 관리가 교원의 신분에 미치는 영향은 무엇인가요?
q_4_0108	일반적 관리의 구체적인 적용 사례를 알려주세요.
q_4_0110	복무일반과 관련된 모든 규정을 정리해주세요.
q_4_0113	교육공무원의 근무형태와 일반적 복무관리 원칙은 무엇인가요?
q_4_0116	일반적 관리의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_0118	휴업일에 교원은 출근해야 하나요?
q_4_0119	휴업과 휴교의 처리 절차가 궁금합니다.
q_4_0120	휴업과 휴교의 처리 기한이 어떻게 되나요?
q_4_0124	휴업과 휴교에는 어떤 것들이 포함되나요?
q_4_0125	휴업과 휴교 관련 최근 변경사항이 있나요?
q_4_0127	휴업과 휴교에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_4_0128	학교장이 휴업과 휴교 관련하여 권한이 있나요?
q_4_0129	휴업과 휴교 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_4_0130	학교의 휴업과 휴교는 어떤 차이가 있고, 각각의 법적 근거는 무엇인가요?
q_4_0132	휴업과 휴교와 관련하여 임용권자의 역할은 무엇인가요?
q_4_0133	방학 중에도 출근해야 하나요?
q_4_0134	교사가 근무시간 중에 대학원 수업을 들으려면 어떻게 해야 하나요?
q_4_0136	교원이 주간대학원을 다닐 수 있나요?
q_4_0137	대학원 수강 시 시간외 근무수당을 받을 수 있나요?
q_4_0138	방학 중에도 교원은 출근해야 하나요?
q_4_0139	학교장의 휴가는 어떻게 승인받나요?
q_4_0140	교원의 대학원 수강의 자격 요건이 어떻게 되나요?
q_4_0141	교원의 대학원 수강의 조건은 무엇인가요?
q_4_0142	교원의 대학원 수강 신청 방법을 알려주세요.
q_4_0143	교원의 대학원 수강을 위해 필요한 서류는 무엇인가요?
q_4_0148	방학 중의 근무의 일수는 어떻게 되나요?
q_4_0149	방학 중의 근무의 기간은 얼마나 되나요?
q_4_0151	방학 중의 근무의 사유는 어떤 것이 있나요?
q_4_0153	교육공무원법은 몇 년까지 가능한가요?
q_4_0155	교원의 대학원 수강을 잘못 처리하면 어떤 문제가 생기나요?
q_4_0156	교원의 대학원 수강을 한눈에 이해할 수 있도록 설명해주세요.
q_4_0157	교원의 대학원 수강은 다른 규정과 어떤 관계가 있나요?
q_4_0161	복무일반에서 교원의 대학원 수강에 대한 규정은 무엇인가요?
q_4_0162	교원이 방학 중에 대학원 수강을 할 때 근무 처리는 어떻게 하나요?
q_4_0163	복무일반에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_0164	교원의 대학원 수강에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_0166	학교장 연수(41조 연수)는 언제, 얼마나 할 수 있나요?
q_4_0167	학교장의 41조 연수는 어떻게 신청하나요?
q_4_0168	『교육공무원법』 제41조에 의한 연수를 위해 필요한 서류는 무엇인가요?
q_4_0169	『교육공무원법』 제41조에 의한 연수의 절차는 어떻게 되나요?
q_4_0170	『교육공무원법』 제41조에 의한 연수의 기간은 얼마나 되나요?
q_4_0171	『교육공무원법』 제41조에 의한 연수 기간은 어떻게 계산하나요?
q_4_0172	『교육공무원법』 제41조에 의한 연수가 제한되는 경우는 언제인가요?
q_4_0176	기관별 복무 보고(관리)의 절차는 어떻게 되나요?
q_4_0177	기관별 복무 보고(관리)의 처리 절차가 궁금합니다.
q_4_0178	기관별 복무 보고관리를 하려면 어떻게 해야 하나요?
q_4_0179	『교육공무원법』 제41조에 의한 연수에서 서류 제출 기한은 어떻게 되나요?
q_4_0180	『교육공무원법』 제41조에 의한 연수과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_0182	교육공무원법 제41조에 의한 연수는 어떤 경우에 해당하며, 복무 처리는 어떻게 하나요?
q_4_0184	복무일반의 구체적인 적용 기준과 범위를 설명해주세요.
q_4_0185	『교육공무원법』 제41조에 의한 연수의 구체적인 적용 기준과 범위를 설명해주세요.
q_4_0186	기관별 복무 보고(관리)에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_4_0187	학교장의 휴가 신청은 어떻게 처리하나요?
q_4_0188	공무 국외출장 신청은 언제까지 해야 하나요?
q_4_0189	학교장의 근무상황은 나이스에서 어떻게 처리하나요?
q_4_0190	학교장의 휴가 및 연수를 나이스에서 어떻게 처리하나요?
q_4_0191	학교장의 공무국외출장은 언제까지 허가 신청해야 하나요?
q_4_0200	학교장 근무 상황 신청 방법을 신청할 때 유의사항이 있나요?
q_4_0201	학교장 근무 상황 신청 방법의 처리 절차가 궁금합니다.
q_4_0203	학교장 근무 상황 신청 방법과 관련하여 금지되는 사항을 알려주세요.
q_4_0204	학교장 근무 상황 신청 방법 중 보수는 어떻게 되나요?
q_4_0206	학교장 근무 상황 신청 방법 관련 최근 변경사항이 있나요?
q_4_0207	교육공무원법을 신청할 때 유의사항이 있나요?
q_4_0211	학교장 근무 상황 신청 방법 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_4_0213	학교장 근무 상황 신청 방법과 관련하여 학교 행정실에서 처리하는 업무는 무엇인가요?
q_4_0214	학교장이 공무외 국외여행을 갈 때 어떻게 처리하나요?
q_4_0215	휴업일(방학 또는 재량휴업일) 신청 방법을 알려주세요.
q_4_0216	방학이나 재량휴업일에 근무상황은 나이스에서 어떻게 처리하나요?
q_4_0219	휴업일(방학 또는 재량휴업일) 중 보수는 어떻게 되나요?
q_4_0220	휴업일(방학 또는 재량휴업일) 기간 중 신분은 어떻게 되나요?
q_4_0225	수업일에 관한 기간과 횟수를 알려주세요.
q_4_0226	수업일 기간은 어떻게 계산하나요?
q_4_0228	수업일 중 보수는 어떻게 되나요?
q_4_0229	수업일의 법적 근거는 무엇인가요?
q_4_0231	휴업일(방학 또는 재량휴업일) 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_4_0232	휴업일(방학 또는 재량휴업일)에 대한 핵심 포인트를 정리해주세요.
q_4_0233	휴업일(방학 또는 재량휴업일)에서 서류 제출 기한은 어떻게 되나요?
q_4_0234	수업일의 세부 기준을 설명해주세요.
q_4_0237	복무에서 학교장 근무상황 나이스 처리 방법이 중요한 이유는 무엇인가요?
q_4_0239	학교장의 근무상황을 나이스로 처리하는 구체적인 방법은 무엇인가요?
q_4_0240	나이스 처리 방법에서 휴업일(방학 또는 재량휴업일)에 대한 규정은 무엇인가요?
q_4_0243	학교장 근무상황 나이스 처리 방법의 실무 적용 시 주의해야 할 점을 알려주세요.
q_4_0245	방학 중 휴업일에 연가, 병가, 공가 등을 사용하려면 나이스에서 어떻게 신청하나요?
q_4_0246	NEIS에서 학교장 근무상황 공람자를 지정하지 않으면 어떻게 되나요?
q_4_0247	결재자(공람자) 지정 및 승인처리 신청 방법을 알려주세요.
q_4_0249	결재자(공람자) 지정 및 승인처리 관련하여 자주 묻는 질문이 있나요?
q_4_0250	나이스에서 복무 신청 시 결재자와 공람자는 어떻게 지정하고 승인 처리하나요?
q_4_0251	결재자(공람자) 지정 및 승인처리 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_4_0254	나이스 복무 기안문 상신 화면에서 결재자 지정 절차는 어떻게 되나요?
q_4_0255	교원 인사 업무에서 학교장 근무상황 나이스 처리 방법이 실제로 어떻게 적용되나요?
q_4_0256	나이스 기안문 상신 시 공람자 지정과 전결규정 적용은 어떻게 하나요?
q_4_0257	메시지 전송 기간에 승급이 되나요?
q_4_0259	메시지 전송에서 실무적으로 주의할 점은 무엇인가요?
q_4_0260	공람자로 추가된 담당자가 근무상황의 휴가세부사항을 확인의 신청 절차는 어떻게 되나요?
q_4_0261	학교장 근무상황 나이스 처리 방법에 대해 교원이 꼭 알아야 할 내용은 무엇인가요?
q_4_0263	나이스에서 공람함 확인과 메시지 전송은 어떻게 하나요?
q_4_0264	학교장 근무상황 나이스 처리 방법와 관련하여 임용권자의 역할은 무엇인가요?
q_4_0265	공람함 확인 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_4_0266	메시지 전송의 구체적인 적용 기준과 범위를 설명해주세요.
q_4_0269	교원의 겸임 발령은 어떤 경우에 가능한가요?
q_4_0290	겸임·직무대리·겸직에서 직위와 직무내용이 유사하고 담당직무 수행에 지장이 없다는 어떤 내용인가요?
q_4_0291	겸임·직무대리·겸직의 2번째 항목은 무엇인가요?
q_4_0292	복무에서 겸임·직무대리·겸직이 중요한 이유는 무엇인가요?
q_4_0294	겸임·직무대리·겸직에서 겸임 발령에 대한 규정은 무엇인가요?
q_4_0296	교육공무원의 겸임, 직무대리, 겸직에 관한 법적 근거는 무엇인가요?
q_4_0298	기관장에게 사고가 발생하면 누가 직무를 대리하나요?
q_4_0299	기관장에게 사고가 발생하면 누가 직무대리를 하나요?
q_4_0300	직무대리규정(대통령령 제33155호, 2022. 12. 27.)가 무엇을 뜻하는 건가요?
q_4_0301	직무대리규정(대통령령 제33155호, 2022. 12. 27.)가 정확히 어떤 것을 의미하나요?
q_4_0303	직무대리규정(대통령령 제33155호, 2022. 12. 27.)의 자격 요건이 어떻게 되나요?
q_4_0304	직무대리규정(대통령령 제33155호, 2022. 12. 27.) 시 절차는 어떻게 되나요?
q_4_0308	제4조(기관장과 부기관장의 직무대리)는 무엇인가요?
q_4_0309	제4조(기관장과 부기관장의 직무대리)의 정의가 어떻게 되나요?
q_4_0310	제4조(기관장과 부기관장의 직무대리)에 해당하는 것들은 무엇인가요?
q_4_0311	제4조(기관장과 부기관장의 직무대리)의 유형을 알려주세요.
q_4_0313	제4조(기관장과 부기관장의 직무대리)의 효력은 어떻게 되나요?
q_4_0316	제5조(기관장과 부기관장 외의 직무대리)에는 어떤 것들이 포함되나요?
q_4_0317	제5조(기관장과 부기관장 외의 직무대리)를 분류하면 어떻게 되나요?
q_4_0319	제5조(기관장과 부기관장 외의 직무대리)에 특례가 적용되는 경우가 있나요?
q_4_0321	기관장과 부기관장 외의 공무원에게 사고가 발생한 경우 필요한 서류가 있나요?
q_4_0323	제조기관장과 부기관장 외의 직무대리에 해당하는 것들은 무엇인가요?
q_4_0324	직무대리규정(대통령령 제33155호, 2022. 12. 27.)의 세부 기준을 설명해주세요.
q_4_0326	직무대리규정(대통령령 제33155호, 2022. 12. 27.)의 전체적인 내용을 요약해주세요.
q_4_0327	제4조(기관장과 부기관장의 직무대리)의 세부 기준을 설명해주세요.
q_4_0328	제4조(기관장과 부기관장의 직무대리)과 관련된 참고 서식이 있나요?
q_4_0329	제4조(기관장과 부기관장의 직무대리) 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_4_0330	제5조(기관장과 부기관장 외의 직무대리)의 세부 기준을 설명해주세요.
q_4_0332	제5조(기관장과 부기관장 외의 직무대리)의 법적 근거가 되는 규정은 무엇인가요?
q_4_0333	직무대리규정(대통령령 제33155호, 2022. 12. 27.)에서 기관장과 부기관장 모두에게 사고가 발생한 경은 어떤 내용인가요?
q_4_0334	직무대리규정(대통령령 제33155호, 2022. 12. 27.) 관련 규정에서 핵심적으로 알아야 할 사항은 무엇인가요?
q_4_0335	직무대리규정(대통령령 제33155호, 2022. 12. 27.)에서 제4조(기관장과 부기관장의 직무대리)에 대한 규정은 무엇인가요?
q_4_0338	기관장과 부기관장의 직무대리에 관한 규정은 어떻게 되어 있나요?
q_4_0339	제5조(기관장과 부기관장 외의 직무대리) 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_4_0340	직무대리 명령서는 언제 발급해야 하나요?
q_4_0341	직무대리규정의 정의가 어떻게 되나요?
q_4_0342	직무대리규정의 구분이 어떻게 되나요?
q_4_0343	직무대리 지정 시 특수한 사유가 있는 경우 대리자는 어떻게 정하나요?
q_4_0346	항에 따른 바로 아래 공무원이 직무대리를 하는 것이 적당하지 아니하다고 인정되는 경우 주의해야 할 점이 있나요?
q_4_0348	제6조(직무대리의 운영)는 무엇인가요?
q_4_0349	제6조(직무대리의 운영)가 무엇을 뜻하는 건가요?
q_4_0350	제6조(직무대리의 운영)는 얼마나 인정되나요?
q_4_0351	제6조(직무대리의 운영)의 일수는 어떻게 되나요?
q_4_0352	제6조(직무대리의 운영)의 유형을 알려주세요.
q_4_0353	제6조(직무대리의 운영)를 분류하면 어떻게 되나요?
q_4_0359	제6조(직무대리의 운영) 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_4_0361	학교에서 제6조(직무대리의 운영) 관련 업무를 처리하려면 어떻게 해야 하나요?
q_4_0363	직무대리의 운영에 관한 제6조의 구체적인 내용은 무엇인가요?
q_4_0364	직무대리규정에서 직무대리 지정 요건과 절차는 어떻게 규정하고 있나요?
q_4_0365	교원 인사 업무에서 제6조(직무대리의 운영)가 실제로 어떻게 적용되나요?
q_4_0366	육아휴직 중에 아르바이트를 해도 되나요?
q_4_0367	교사가 부동산 임대 사업을 해도 되나요?
q_4_0368	육아휴직 중에 아르바이트해도 되나요?
q_4_0369	【사례 2】 공동주택 입주자 대표, 재건축조합 임원 등과 관련하여 금지되는 사항을 알려주세요.
q_4_0370	【사례 2】 공동주택 입주자 대표, 재건축조합 임원 등에서 금지되는 행위는 무엇인가요?
q_4_0371	【사례 2】 공동주택 입주자 대표, 재건축조합 임원 등에서 실무적으로 주의할 점은 무엇인가요?
q_4_0372	법령에 따라 선출되어 겸직 업무를 수행하게 되는 경우 어떤 절차를 밟아야 하나요?
q_4_0374	【사례 4】 공무원 복무규정상 국가공무원들은 청원휴직 중 하나인 육아휴직을 사용할 수 있습니다. 그런데 육아휴직기간 중 생계유지를 위해 식당, 카페 등에서 소위 아르바이트 업무를 겸직해도 되는지?는 몇 년까지 가능한가요?
q_4_0375	【사례 4】 공무원 복무규정상 국가공무원들은 청원휴직 중 하나인 육아휴직을 사용할 수 있습니다. 그런데 육아휴직기간 중 생계유지를 위해 식당, 카페 등에서 소위 아르바이트 업무를 겸직해도 되는지? 기간은 어떻게 계산하나요?
q_4_0378	육아휴직 중인 공무원이 아르바이트 등 겸직을 할 수 있나요?
q_4_0379	【사례 4】 공무원 복무규정상 국가공무원들은 청원휴직 중 하나인 육아휴직을 사용할 수 있습니다. 그런데 육아휴직기간 중 생계유지를 위해 식당, 카페 등에서 소위 아르바이트 업무를 겸직해도 되는지?가 경력평정에 어떻게 반영되나요?
q_4_0381	휴직 중인 공무원이 휴직기간 중 휴직사유와 달리 휴직목적 달성에 현저히 위배되는 행위를 하는 경우 관련 규정이 어떻게 되나요?
q_4_0382	【사례 2】 공동주택 입주자 대표, 재건축조합 임원 등에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_4_0383	【사례 2】 공동주택 입주자 대표, 재건축조합 임원 등에 관한 규정이 최근에 어떻게 바뀌었나요?
q_4_0384	【사례 2】 공동주택 입주자 대표, 재건축조합 임원 등과 관련된 참고 서식이 있나요?
q_4_0385	【사례 4】 공무원 복무규정상 국가공무원들은 청원휴직 중 하나인 육아휴직을 사용할 수 있습니다. 그런데 육아휴직기간 중 생계유지를 위해 식당, 카페 등에서 소위 아르바이트 업무를 겸직해도 되는지? 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_4_0388	관련 사례에서 부동산 임대  ∘ 공무원이 임대사업자로 등록하고 주택·상가를 임... 경우는 어떻게 판단하나요?
q_4_0389	공무원이 공동주택 입주자 대표나 재건축조합 임원을 맡으려면 겸직허가가 필요한가요?
q_4_0390	【사례 2】 공동주택 입주자 대표, 재건축조합 임원 등에서 【사례 3】 부동산 임대에 대한 규정은 무엇인가요?
q_4_0391	공동주택 입주자 대표로 활동하려는 공무원의 겸직허가 절차와 제한 사항은 무엇인가요?
q_4_0392	【사례 3】 부동산 임대가 교원의 경력에 어떤 영향을 미치나요?
q_4_0394	교사가 책을 쓰려면 겸직허가가 필요한가요?
q_4_0395	교사가 대리운전을 해도 되나요?
q_4_0396	교사가 블로그로 수익을 얻어도 되나요?
q_4_0397	교사가 블로그나 유튜브로 수익을 얻으려면 겸직허가를 받아야 하나요?
q_4_0398	교원이 블로그를 운영해서 수익을 얻으려면 어떻게 해야 하나요?
q_4_0406	그 밖에 소속 기관의 장이 겸직업무의 성격상 직무 능률을 떨어뜨릴 우려가 있다고 인정하는 경우 어떤 절차를 밟아야 하나요?
q_4_0407	【사례 7】 영리를 목적으로 사적인 이익을 추구하는 것이 금지되어 있는 것은 잘 알고 있는데요. 혹시 '임상실험'에 참여하는 것도 금지되나요?의 자격 요건이 어떻게 되나요?
q_4_0409	【사례 7】 영리를 목적으로 사적인 이익을 추구하는 것이 금지되어 있는 것은 잘 알고 있는데요. 혹시 '임상실험'에 참여하는 것도 금지되나요?과 관련하여 금지되는 사항을 알려주세요.
q_4_0410	【사례 7】 영리를 목적으로 사적인 이익을 추구하는 것이 금지되어 있는 것은 잘 알고 있는데요. 혹시 '임상실험'에 참여하는 것도 금지되나요? 관련 제한사항이 있나요?
q_4_0411	【사례 7】 영리를 목적으로 사적인 이익을 추구하는 것이 금지되어 있는 것은 잘 알고 있는데요. 혹시 '임상실험'에 참여하는 것도 금지되나요?에서 실무적으로 주의할 점은 무엇인가요?
q_4_0416	【사례 7】 영리를 목적으로 사적인 이익을 추구하는 것이 금지되어 있는 것은 잘 알고 있는데요. 혹시 '임상실험'에 참여하는 것도 금지되나요?의 행정 처리 담당자는 누구인가요?
q_4_0417	【사례 7】 영리를 목적으로 사적인 이익을 추구하는 것이 금지되어 있는 것은 잘 알고 있는데요. 혹시 '임상실험'에 참여하는 것도 금지되나요?에서 가장 중요한 조건은 무엇인가요?
q_4_0418	【사례 7】 영리를 목적으로 사적인 이익을 추구하는 것이 금지되어 있는 것은 잘 알고 있는데요. 혹시 '임상실험'에 참여하는 것도 금지되나요?의 특이사항이나 예외 규정이 있나요?
q_4_0423	교사가 학원에서 강의할 수 있나요?
