q_1_0780	공무원이 당연퇴직되는 경우는 언제인가요?
q_1_0834	(2) 「교육공무원법」 제43조의2가 교원의 경력에 어떤 영향을 미치나요?
q_1_0836	직권면직 시 징계위원회 동의가 필요한 경우는 언제인가요?
q_1_0837	면직 시 인사발령 통지서에 첨부해야 하는 서류는?
q_1_0839	의원면직(사직) 처리 시 비위사실 확인을 해야 하나요?
q_1_0844	정년퇴직 처리에 필요한 서류는 무엇인가요?
q_1_0873	명예퇴직 신청 자격은 어떻게 되나요?
q_1_0874	군복무 기간도 명예퇴직 재직기간에 포함되나요?
q_1_0876	명예퇴직은 누가 신청할 수 있나요?
q_1_0877	명예퇴직 신청 자격이 어떻게 되나요?
q_1_0878	명예퇴직 재직기간에 휴직기간도 포함되나요?
q_1_0879	명예퇴직 신청 자격은 무엇인가요?
q_1_0880	명예퇴직수당을 받으려면 어떤 조건이 필요한가요?
q_1_0881	명예퇴직 시 공무원연금법상 재직기간은 어떻게 계산하나요?
q_1_0882	신청자격(지급대상)에 해당하려면 어떤 조건을 충족해야 하나요?
q_1_0883	신청자격(지급대상)의 조건은 무엇인가요?
q_1_0884	신청자격(지급대상)를 신청할 때 유의사항이 있나요?
q_1_0887	신청자격(지급대상)의 기간은 얼마나 되나요?
q_1_0890	재직기간의 계산의 횟수 제한이 있나요?
q_1_0891	재직기간의 계산의 기간은 얼마나 되나요?
q_1_0893	재직기간의 계산에는 어떤 종류가 있나요?
q_1_0895	재직기간의 계산하면 어떤 효과가 있나요?
q_1_0898	신규 교사가 신청자격(지급대상)에 대해 알아야 할 사항은 무엇인가요?
q_1_0899	신청자격(지급대상)에서 가장 중요한 조건은 무엇인가요?
q_1_0900	신청자격(지급대상)과 관련된 참고 서식이 있나요?
q_1_0901	재직기간의 계산 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_1_0902	재직기간의 계산에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_1_0904	명예퇴직의 ②번째 항목은 무엇인가요?
q_1_0905	명예퇴직에 대한 전반적인 내용을 요약해주세요.
q_1_0908	신청자격(지급대상)에서 공무원연금법상 재직기간에 대한 규정은 무엇인가요?
q_1_0912	신청자격(지급대상)가 교원의 경력에 어떤 영향을 미치나요?
q_1_0913	공무원연금법상 재직기간 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_1_0914	명예퇴직수당 지급에서 제외되는 사람은 누구인가요?
q_1_0915	징계처분 후 승진임용 제한 기간은 얼마나 되나요?
q_1_0916	명예퇴직수당을 받을 수 없는 경우가 있나요?
q_1_0917	명예퇴직수당을 받을 수 없는 경우는 언제인가요?
q_1_0918	재직기간의 합산을 하려면 어떻게 해야 하나요?
q_1_0919	재직기간의 합산을 위해 필요한 서류는 무엇인가요?
q_1_0920	재직기간의 합산에 관한 기간과 횟수를 알려주세요.
q_1_0923	재직기간의 합산의 유형을 알려주세요.
q_1_0924	재직기간의 합산에서 실무적으로 주의할 점은 무엇인가요?
q_1_0925	지급제외대상의 자격 요건이 어떻게 되나요?
q_1_0933	재직기간의 합산에서 가장 중요한 조건은 무엇인가요?
q_1_0934	학교장이 재직기간의 합산 관련하여 권한이 있나요?
q_1_0935	재직기간의 합산을 한눈에 이해할 수 있도록 설명해주세요.
q_1_0937	지급제외대상에 관한 규정이 최근에 어떻게 바뀌었나요?
q_1_0939	지급제외대상에서 임용 전 복무기간을 산입받으려는 사람은 복무기간 산입신은 어떤 내용인가요?
q_1_0940	정부기능이 이관되면서 그 이관되는 기능을 수행하는 기관에 대해 자세히 설명해주세요.
q_1_0941	지급제외대상에 대한 전반적인 내용을 요약해주세요.
q_1_0947	재직기간의 합산 규정을 적용할 때 흔히 발생하는 문제점은 무엇인가요?
q_1_0948	명예퇴직수당은 언제 신청할 수 있나요?
q_1_0949	명예퇴직자가 특별승진에서 제외되는 경우는?
q_1_0950	명예퇴직 심사에서 우선 고려되는 대상자는?
q_1_0951	명예퇴직수당은 언제 지급되나요?
q_1_0953	명예퇴직수당은 언제 받나요?
q_1_0955	명예퇴직수당 대상자 결정 시 누가 우선인가요?
q_1_0957	명예퇴직수당 지급대상자 신청 및 지급결정의 처리 절차가 궁금합니다.
q_1_0958	명예퇴직수당 지급대상자 신청 및 지급결정을 신청할 때 유의사항이 있나요?
q_1_0959	명예퇴직수당 지급대상자 신청 및 지급결정의 일수는 어떻게 되나요?
q_1_0961	명예퇴직수당 지급대상자 신청 및 지급결정에 해당하는 것들은 무엇인가요?
q_1_0962	명예퇴직수당 지급대상자 신청 및 지급결정에는 어떤 것들이 포함되나요?
q_1_0965	명예퇴직자의 특별승진 제외사유 신청 자격이 있는 사람은 누구인가요?
q_1_0966	어떤 경우에 명예퇴직자의 특별승진 제외사유가 가능한가요?
q_1_0968	명예퇴직자의 특별승진 제외사유가 제한되는 경우는 언제인가요?
q_1_0969	명예퇴직자의 특별승진 제외사유의 예외 사항이 있나요?
q_1_0972	호에 따라 특별승진임용하는 경우 필요한 서류가 있나요?
q_1_0973	명예퇴직수당 지급대상자 신청 및 지급결정의 전체적인 내용을 요약해주세요.
q_1_0974	명예퇴직수당 지급대상자 신청 및 지급결정의 구체적인 적용 사례를 알려주세요.
q_1_0975	명예퇴직수당 지급대상자 신청 및 지급결정의 법적 근거가 되는 규정은 무엇인가요?
q_1_0976	명예퇴직자의 특별승진 제외사유의 세부 기준을 설명해주세요.
q_1_0978	명예퇴직자의 특별승진 제외사유의 행정 처리 담당자는 누구인가요?
q_1_0979	명예퇴직수당 지급대상자 신청 및 지급결정에서 다음 각 호의 사람을 우선 고려한다. - 상위직 공무원은 어떤 내용인가요?
q_1_0980	명예퇴직자의 특별승진에서 제외되는 사유는 무엇인가요?
q_1_0983	명예퇴직자의 특별승진 제외사유가 교원의 경력에 어떤 영향을 미치나요?
q_1_0984	수당지급에 관한 사항의 구체적인 적용 기준과 범위를 설명해주세요.
q_1_0985	명예퇴직수당은 어떻게 계산하나요?
q_1_0986	명예퇴직 신청을 철회할 수 있나요?
q_1_0987	공무원이 사망한 경우에도 명예퇴직 신청이 가능한가요?
q_1_0989	명예퇴직수당 지급대상자 결정이 취소되는 경우는?
q_1_0990	명예퇴직수당 지급대상자 결정 취소를 하려면 어떻게 해야 하나요?
q_1_0992	명예퇴직수당 지급대상자 결정 취소의 일수는 어떻게 되나요?
q_1_0993	명예퇴직수당 지급대상자 결정 취소는 몇 년까지 가능한가요?
q_1_0996	명예퇴직수당 지급대상자 결정 취소 관련 최근 변경사항이 있나요?
q_1_0998	※ 명예퇴직수당에 대한 세금 공제는 무엇인가요?
q_1_0999	명예퇴직수당 지급대상자 결정 취소를 잘못 처리하면 어떤 문제가 생기나요?
q_1_1000	명예퇴직수당 지급대상자 결정 취소을 한눈에 이해할 수 있도록 설명해주세요.
q_1_1001	명예퇴직수당 지급대상자 결정 취소에서 자주 혼동되는 부분은 무엇인가요?
q_1_1002	명예퇴직수당 지급대상자 결정이 취소되는 경우는 언제인가요?
q_1_1007	교원 인사 업무에서 명예퇴직수당 지급대상자 결정 취소가 실제로 어떻게 적용되나요?
q_1_1008	공무원 본인 사망(뇌사) 시 명예퇴직 심사 대상 구분에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_1_1009	제출서류의 조건은 무엇인가요?
q_1_1010	제출서류에 해당하려면 어떤 조건을 충족해야 하나요?
q_1_1013	제출서류의 승급 인정은 어떻게 되나요?
q_1_1015	제출서류의 법적 근거가 되는 규정은 무엇인가요?
q_1_1073	주요 경력에서 과거 포상기록(훈장·포장·표창별로 기록)에 대한 규정은 무엇인가요?
q_1_1081	명예퇴직수당 신청서 제출 시 유의사항이 있나요?
q_1_1083	명예퇴직 신청서의 접수번호와 접수일은 어떻게 기재하나요?
q_1_1084	명예퇴직 신청서 작성 시 호봉을 기재할 때 유의할 점은 무엇인가요?
q_1_1085	교원 인사 업무에서 주요 확인사항이 실제로 어떻게 적용되나요?
q_1_1086	접수번호/접수일의 실무 적용 시 주의해야 할 점을 알려주세요.
q_1_1087	호봉 기재 시 유의사항의 구체적인 적용 기준과 범위를 설명해주세요.
q_1_1088	명예퇴직수당 신청 시 제출해야 하는 서류는 무엇인가요?
q_1_1089	명예퇴직 신청서는 누가 작성하나요?
q_1_1091	첨부서류의 절차는 어떻게 되나요?
q_1_1092	명예퇴직 신청 시 필요한 첨부서류는 무엇인가요?
q_1_1094	첨부서류의 일수는 어떻게 되나요?
q_1_1097	항에 따라 신청하는 경우 어떻게 처리하나요?
q_1_1098	명예퇴직원(신청서) 양식은 어떻게 구성되어 있나요?
q_1_1100	경기도교육감 귀하의 기간은 얼마나 되나요?
q_1_1101	경기도교육감 귀하하면 어떤 효과가 있나요?
q_1_1102	경기도교육감 귀하 관련 최근 변경사항이 있나요?
q_1_1103	만약 일 이후 발생한 범죄행위로 인한 경우 어떻게 되나요?
q_1_1106	경기도교육감 귀하를 잘못 처리하면 어떤 문제가 생기나요?
q_1_1107	경기도교육감 귀하의 전체적인 내용을 요약해주세요.
q_1_1143	검찰청, 경찰청, 감사원 (자체 감사기관 포함)의 항목는 어떻게 되나요?
q_1_1144	교원의 임용에서 【작성예시 4. 개인정보 수집·활용 동의서】 반드시 본인 자필로 서명이 중요한 이유는 무엇인가요?
q_1_1148	명예퇴직 특별승진 공적조서는 누가 확인하나요?
q_1_1149	2025년 2월말 명예퇴직 특별승진 임용심사용 공적조서에 대해 교원이 꼭 알아야 할 내용은 무엇인가요?
q_1_1151	2025년 2월말 명예퇴직 특별승진 임용심사용 공적조서에서 특별승진 제외 대상 반드시 확인에 대한 규정은 무엇인가요?
q_1_1154	교원 인사 업무에서 2025년 2월말 명예퇴직 특별승진 임용심사용 공적조서가 실제로 어떻게 적용되나요?
q_1_1155	특별승진 제외 대상에 해당하는지 확인해야 할 사항은 무엇인가요?
q_1_1157	주요 경력 관련하여 과거 포상 기록(훈장·포장·표창별로 기록)의 기준은 무엇인가요?
q_1_1158	명예퇴직 특별승진 심사 시 과거 포상 기록과 공적 내용은 어떻게 작성하나요?
q_1_1161	NEIS 인사기록카드 출력은 누가 해야 하나요?
q_1_1162	신청인 제출서류 신청 방법을 알려주세요.
q_1_1167	신청인 제출서류의 승급 인정은 어떻게 되나요?
q_1_1169	신청인 제출서류에서 33년이라는 기준은 어떤 의미인가요?
q_1_1170	신청인 제출서류을 한눈에 이해할 수 있도록 설명해주세요.
q_1_1171	신청인 제출서류에 대한 핵심 포인트를 정리해주세요.
q_1_1192	명예퇴직수당 신청서에서 정년일은 어떻게 계산하나요?
q_1_1193	명예퇴직원을 하려면 어떻게 해야 하나요?
q_1_1194	명예퇴직원 신청 방법을 알려주세요.
q_1_1197	명예퇴직원 규정의 주요 포인트를 설명해주세요.
q_1_1200	명예퇴직원 작성 및 제출 시 주의해야 할 사항은 무엇인가요?
q_1_1201	명예퇴직 특별승진에서 제외되는 경우는 무엇인가요?
q_1_1202	공적 요약서(엑셀) 및 공적조서(한글) ※ 특별승진 대상자만 작성 신청 자격이 있는 사람은 누구인가요?
q_1_1203	공적 요약서(엑셀) 및 공적조서(한글) ※ 특별승진 대상자만 작성을 하려면 어떤 요건이 필요한가요?
q_1_1205	공적 요약서(엑셀) 및 공적조서(한글) ※ 특별승진 대상자만 작성을 신청할 때 유의사항이 있나요?
q_1_1207	공적 요약서(엑셀) 및 공적조서(한글) ※ 특별승진 대상자만 작성의 구분이 어떻게 되나요?
q_1_1210	명예퇴직 요건 심사서(신청인 작성 서류 아님, 교육지원청 작성)를 받을 수 있는 자격이 궁금합니다.
q_1_1211	명예퇴직 요건 심사서(신청인 작성 서류 아님, 교육지원청 작성)를 하려면 어떤 요건이 필요한가요?
q_1_1212	명예퇴직 요건 심사서(신청인 작성 서류 아님, 교육지원청 작성)를 위해 필요한 서류는 무엇인가요?
q_1_1215	명예퇴직 요건 심사서(신청인 작성 서류 아님, 교육지원청 작성)의 예외 사항이 있나요?
q_1_1217	명예퇴직 요건 심사서신청인 작성 서류 아님, 교육지원청 작성의 대상자는 누구인가요?
q_1_1218	공적 요약서(엑셀) 및 공적조서(한글) ※ 특별승진 대상자만 작성 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_1_1219	공적 요약서(엑셀) 및 공적조서(한글) ※ 특별승진 대상자만 작성의 전체적인 내용을 요약해주세요.
q_1_1221	명예퇴직 요건 심사서(신청인 작성 서류 아님, 교육지원청 작성)의 특이사항이나 예외 규정이 있나요?
q_1_1223	명예퇴직 요건 심사서(신청인 작성 서류 아님, 교육지원청 작성)에 관한 규정이 최근에 어떻게 바뀌었나요?
q_1_1224	공적 요약서(엑셀) 및 공적조서(한글) ※ 특별승진 대상자만 작성과 관련된 모든 규정을 정리해주세요.
q_1_1225	공적 요약서(엑셀) 및 공적조서(한글) ※ 특별승진 대상자만 작성 과정에서 명예퇴직 요건 심사서(신청인 작성 서류 아님, 교육지원청 작성)가 어떻게 적용되나요?
q_1_1228	명예퇴직 신청 기간 전에 신청할 수 있는 경우가 있나요?
q_1_1230	중병으로 명예퇴직을 신청할 때 특별한 절차가 있나요?
q_1_1231	명예퇴직수당 신청 시 중병자는 언제 신청할 수 있나요?
q_1_1232	사립학교 교장도 명예퇴직수당을 받을 수 있나요?
q_1_1233	사립학교 정관을 위해 필요한 서류는 무엇인가요?
q_1_1234	사립학교 정관 신청 방법을 알려주세요.
q_1_1237	사립학교 정관의 예외 사항이 있나요?
q_1_1240	타법인 교원에서 현 학교 임기제 교장으로 임용된 경우 어떻게 처리하나요?
q_1_1241	호봉 획정표에 해당하려면 어떤 조건을 충족해야 하나요?
q_1_1242	호봉 획정표 신청 자격이 있는 사람은 누구인가요?
q_1_1243	호봉 획정표의 처리 기한이 어떻게 되나요?
q_1_1248	사립학교 정관이 교원의 신분에 미치는 영향은 무엇인가요?
q_1_1249	신규 교사가 사립학교 정관에 대해 알아야 할 사항은 무엇인가요?
q_1_1250	사립학교 정관 관련 민원이 들어오면 어떻게 대응해야 하나요?
q_1_1251	학교장이 호봉 획정표 관련하여 권한이 있나요?
q_1_1252	신규 교사가 호봉 획정표에 대해 알아야 할 사항은 무엇인가요?
q_1_1254	사립학교 정관 규정의 주요 포인트를 설명해주세요.
q_1_1256	사립학교에서 인사기록카드 관리는 어떻게 해야 하나요?
q_1_1258	사립학교 정관에 관한 관련 법령의 규정은 어떻게 되나요?
q_1_1259	교원 인사 업무에서 사립 인사기록카드가 실제로 어떻게 적용되나요?
q_1_1260	교육공무원의 호봉 획정 기준은 어떻게 되나요?
q_1_1274	인사위원회는 어떻게 구성되나요?
q_1_1275	인사위원회의 의결정족수는 어떻게 되나요?
q_1_1276	인사위원회에서 심의하는 사항은 무엇인가요?
q_1_1286	심의사항 관련 제한사항이 있나요?
q_1_1288	심의사항의 산정 기준은 무엇인가요?
q_1_1294	심의사항의 세부 기준을 설명해주세요.
q_1_1296	인사위원회 운영과 관련된 모든 규정을 정리해주세요.
q_1_1299	회의소집에서 심의사항에 대한 규정은 무엇인가요?
q_1_1301	교육공무원 인사위원회의 운영에 관한 규정은 어떻게 되나요?
q_1_1302	인사위원회 회의를 소집할 때 확인해야 할 사항은 무엇인가요?
q_1_1303	심의사항에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_1_1304	위원회의 구성 기간은 어떻게 계산하나요?
q_1_1307	위원회의 구성의 유형을 알려주세요.
q_1_1308	위원회의 구성의 법적 근거는 무엇인가요?
q_1_1310	위원회의 운영은 몇 년까지 가능한가요?
q_1_1313	위원회의 운영에 해당하는 것들은 무엇인가요?
q_1_1314	위원회의 운영 관련 최근 변경사항이 있나요?
q_1_1315	위원회의 구성의 행정 처리 담당자는 누구인가요?
q_1_1317	위원회의 구성의 전체적인 내용을 요약해주세요.
q_1_1318	위원회의 운영에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_1_1320	운용세칙에서 「교육공무원법」 제59조제1항(교육감 소속 교육전문직원은 어떤 내용인가요?
q_1_1321	인사위원회 운용세칙에는 어떤 내용이 포함되나요?
q_1_1323	지방교육전문직원 인사위원회의 구성과 운영은 어떻게 하나요?
q_1_1325	교원 인사 업무에서 운용세칙이 실제로 어떻게 적용되나요?
q_1_1326	지방교육전문직원 인사위원회의 실무 적용 시 주의해야 할 점을 알려주세요.
q_1_1327	교원 인사 업무에서 위원회의 구성이 실제로 어떻게 적용되나요?
q_2_0002	5학급 이하 학교에서 교감을 배치하지 않아도 되나요?
q_2_0003	학교에 교감을 안 두어도 되는 경우가 있나요?
q_2_0005	교감 미배치가 가능한 학교는 어떤 학교인가요?
q_2_0007	교감을 배치하지 않을 수 있는 학교의 기준은 무엇인가요?
q_2_0008	9학급 중학교의 교사 정원은 어떻게 계산하나요?
q_2_0009	11학급 이상 중학교의 교사 정원은 어떻게 산정하나요?
q_2_0010	일반계 고등학교의 학급당 교사 배정 비율은?
q_2_0012	상업계 고등학교의 학급당 교사 배정은?
q_2_0014	중학교 특수학급 교사의 기본 배치 기준은?
q_2_0017	복수교감을 배치할 수 있는 학교 기준은?
q_2_0019	수석교사 정원은 어떻게 산정하나요?
q_2_0020	학급당 학생 수가 교원 정원에 영향을 주나요?
q_2_0021	중학교 15학급의 교사 정원을 계산해주세요.
q_2_0022	일반계 고등학교 20학급의 교사 정원은?
q_2_0023	공업계 고등학교 12학급의 교사 정원은?
q_2_0024	중학교 특수학급 2학급에 학생이 15명이면 교사를 몇 명 배치하나요?
q_2_0025	고등학교 특수학급 1학급에 3명이면 추가 교사를 배치하나요?
q_2_0026	교장과 교감도 교원 정원에 포함되나요?
q_2_0027	보건교사도 교원 정원에 포함되나요?
q_2_0028	8학급 학교에 보건교사를 배치할 수 있나요?
q_2_0030	5학급 학교에 교감을 배치하면 어떤 조건이 있나요?
q_2_0032	수석교사 0.5명은 무슨 의미인가요?
q_2_0033	병설학교 순회교사는 여비를 받을 수 없나요?
q_2_0035	보직교사란 무엇이며 정원에 포함되나요?
q_2_0036	산학겸임교사는 정원에 포함되나요?
q_2_0037	교원 정원에 관한 사항을 국회에 보고해야 하나요?
q_2_0038	학교급별 교원 배치기준은 누가 정하나요?
q_2_0040	교원의 구분 및 배치의 대상자는 누구인가요?
q_2_0041	교원의 구분 및 배치를 하려면 어떤 요건이 필요한가요?
q_2_0042	교원의 구분 및 배치를 하려면 어떻게 해야 하나요?
q_2_0043	교원의 구분과 학교별 배치 기준은 어떻게 되나요?
q_2_0048	교감의 미배치 신청 자격이 있는 사람은 누구인가요?
q_2_0049	교감의 미배치의 자격 요건이 어떻게 되나요?
q_2_0053	교감의 미배치에서 제외되는 경우는 어떤 경우인가요?
q_2_0054	교감의 미배치 관련하여 자주 묻는 질문이 있나요?
q_2_0056	교원의 구분 및 배치 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_2_0059	교감의 미배치에 대해 교사들이 알아야 할 핵심 내용은 무엇인가요?
q_2_0060	교감의 미배치에서 서류 제출 기한은 어떻게 되나요?
q_2_0061	교감의 미배치에서 가장 중요한 조건은 무엇인가요?
q_2_0062	정원 및 순회교사제의 1번째 항목은 무엇인가요?
q_2_0063	정원 및 순회교사제에서 관련 규정이 중요한 이유는 무엇인가요?
q_2_0066	산학겸임교사와 관련된 법적 근거는 무엇인가요?
q_2_0067	교원 정원이 교원의 경력에 어떤 영향을 미치나요?
q_2_0070	복수교감 배치가 가능한 학교 규모는 어떻게 되나요?
q_2_0075	보건교사는 몇 학급 이상 학교에 배치되나요?
q_2_0081	9학급 이상교가 승진에 미치는 영향은 무엇인가요?
q_2_0082	9학급 이상교에서 제외되는 경우는 어떤 경우인가요?
q_2_0083	9학급 이상교의 예외 사항이 있나요?
q_2_0086	9학급 이상교에서 75명이라는 기준은 어떤 의미인가요?
q_2_0095	9학급 이상교의 세부 기준을 설명해주세요.
q_2_0096	9학급 이상교에서 자주 혼동되는 부분은 무엇인가요?
q_2_0102	중등교원 소요 정원 산출 시 학교에서 해야 할 일은?
q_2_0103	교육지원청에서 중등교원 정원 관련 어떤 업무를 하나요?
q_2_0104	중등교원 소요 정원 신청 시 필요한 구비 서류는?
q_2_0105	중등교원 소요 정원 산출 공문은 언제 제출하나요?
q_2_0106	횡양식 교원 조직예정표란 무엇인가요?
q_2_0108	순회교사 운영 시 필요한 구비서류는 무엇인가요?
q_2_0111	순회교사란 무엇인가요?
q_2_0112	순회교사제는 왜 필요한가요?
q_2_0113	표시과목불일치 교사가 뭔가요?
q_2_0114	순회교사와 겸임교사의 정의는 무엇인가요?
q_2_0116	표시과목불일치 교사란 무엇인가요?
q_2_0117	순회교사제의 목적은 무엇인가요?
q_2_0118	순회교사제가 교사 간 수업시수 격차를 어떻게 완화하나요?
q_2_0119	순회교사제가 상치교사 문제 해소에 어떻게 도움이 되나요?
q_2_0121	교육행정기관에 소속을 두는 순회교사는 어떤 업무를 하나요?
q_2_0122	순회교사가 수행하는 업무의 범위는?
q_2_0123	순회학교에서 순회교사의 업무는 무엇인가요?
q_2_0124	순회교사의 근무일과 근무시간은 누가 정하나요?
q_2_0125	순회교사의 연가나 병가는 누가 처리하나요?
q_2_0126	교육행정기관 소속 순회교사의 학습휴가는?
q_2_0128	순회교사제도가 2015 개정 교육과정과 어떤 관련이 있나요?
q_2_0130	순회교사 발령 시 겸임기관을 찾기 버튼으로 어떻게 선택하나요?
q_2_0131	순회교사의 수업 준비는 어느 학교에서 하나요?
q_2_0132	순회교사도 학생 평가를 담당하나요?
q_2_0133	순회교사의 학습지도안은 누가 검토하나요?
q_2_0134	순회교사제와 기간제교사는 어떻게 다른가요?
q_2_0135	순회교사제과 관련된 모든 규정을 정리해주세요.
q_2_0137	순회교사제에서 사용하는 주요 용어의 정의는 무엇인가요?
q_2_0138	순회교사와 겸임교사의 차이점은 무엇인가요?
q_2_0139	순회교사제 운영 시 행정적으로 확인해야 할 사항은 무엇인가요?
q_2_0140	용어의 정의에 관해 교육청에서 자주 질의하는 내용은 무엇인가요?
q_2_0141	순회·겸임교사 처리 시 행정적으로 필요한 절차를 정리해주세요.
q_2_0143	순회교사도 학습휴가를 받을 수 있나요?
q_2_0144	순회교사 임용 기간은 어떻게 되나요?
q_2_0147	순회교사 임용 기간은 언제부터 언제까지인가요?
q_2_0155	농어촌 순회교원 수당 지급 신청 자격이 있는 사람은 누구인가요?
q_2_0156	농어촌 순회교원 수당 지급을 하려면 어떤 요건이 필요한가요?
q_2_0157	농어촌 순회교원 수당 지급에 관한 기간과 횟수를 알려주세요.
q_2_0159	농어촌 순회교원 수당 지급이 적용되지 않는 경우는 언제인가요?
q_2_0160	농어촌 순회교원 수당 지급에 특례가 적용되는 경우가 있나요?
q_2_0162	농어촌학교 순회교원수당 및 복식수업수당 지급에 관한 훈령을 받을 수 있는 자격이 궁금합니다.
q_2_0166	농어촌 순회교원 수당 지급 업무를 처리할 때 가장 중요한 점은 무엇인가요?
q_2_0167	농어촌 순회교원 수당 지급의 구체적인 적용 사례를 알려주세요.
q_2_0176	농어촌 순회교원 수당의 지급 근거는?
q_2_0177	농어촌 순회교원 수당을 받을 수 있는 대상은?
q_2_0178	농어촌학교의 정의는 무엇인가요?
q_2_0181	농어촌 순회교원 여비는 어떻게 지급되나요?
q_2_0182	「농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법」는 무엇인가요?
q_2_0183	「농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법」의 정의가 어떻게 되나요?
q_2_0184	농업·농촌 및 식품산업 기본법의 개념이 궁금합니다.
q_2_0185	「농업·농촌 및 식품산업 기본법」 제3조제5호 나목에 따른 농어촌지역을 신청할 때 유의사항이 있나요?
q_2_0186	농어촌지역의 범위는 법적으로 어떻게 정의되나요?
q_2_0187	「농업·농촌 및 식품산업 기본법」 제3조제5호 나목에 따른 농어촌지역에는 어떤 것들이 포함되나요?
q_2_0190	「농업·농촌 및 식품산업 기본법」 제3조제5호 나목에 따른 농어촌지역이 적용되지 않는 경우는 언제인가요?
q_2_0191	「농업·농촌 및 식품산업 기본법」 제3조제5호 나목에 따른 농어촌지역의 법적 근거는 무엇인가요?
q_2_0193	「농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법」의 법적 근거가 되는 규정은 무엇인가요?
q_2_0194	「농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법」에서 자주 혼동되는 부분은 무엇인가요?
q_2_0195	「농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법」에 대한 핵심 포인트를 정리해주세요.
q_2_0196	「농업·농촌 및 식품산업 기본법」 제3조제5호 나목에 따른 농어촌지역에서 서류 제출 기한은 어떻게 되나요?
q_2_0197	「농업·농촌 및 식품산업 기본법」 제3조제5호 나목에 따른 농어촌지역의 전체적인 내용을 요약해주세요.
q_2_0201	농어촌 순회교원 수당은 얼마인가요?
q_2_0202	순회교사 여비는 얼마까지 받을 수 있나요?
q_2_0203	도서벽지수당을 받는 순회교사의 순회교원 수당이 다른 이유는?
q_2_0204	순회교사 여비를 지급하지 않는 경우는?
q_2_0205	순회교사 여비를 학기당 18주 근무했다면 어떻게 되나요?
q_2_0206	소속교와 순회교가 1.5km 떨어져 있으면 여비를 받나요?
q_2_0207	어떤 경우에 농어촌 순회교원 여비 지급이 가능한가요?
q_2_0208	농어촌 순회교원 여비 지급을 하려면 어떤 요건이 필요한가요?
q_2_0209	농어촌 순회교원 여비 지급의 기간은 얼마나 되나요?
q_2_0211	농어촌 순회교원 여비 지급의 지급 방법이 어떻게 되나요?
q_2_0212	농어촌 순회교원 여비 지급은 어떻게 결정되나요?
q_2_0215	학교장이 농어촌 순회교원 여비 지급 관련하여 권한이 있나요?
q_2_0216	농어촌 순회교원 여비 지급의 전체적인 내용을 요약해주세요.
